fold_participant,accuracy,f1_stressed,f1_not_stressed,f1_macro,precision,recall,auc_roc
PP1,0.5968992248062015,0.6,0.59375,0.596875,0.639344262295082,0.5652173913043478,0.6826086956521739
PP10,0.578125,0.6142857142857143,0.5344827586206896,0.5743842364532019,0.589041095890411,0.6417910447761194,0.6508441399559579
PP11,0.6771653543307087,0.7544910179640718,0.5287356321839081,0.6416133250739899,0.6363636363636364,0.9264705882352942,0.7088733798604188
PP12,0.671875,0.5625,0.7375,0.65,1.0,0.391304347826087,0.8757062146892656
PP13,0.7142857142857143,0.7804878048780488,0.5909090909090909,0.6856984478935699,0.6530612244897959,0.9696969696969697,0.5833333333333333
PP14,0.6201550387596899,0.703030303030303,0.4731182795698925,0.5880742913000978,0.6041666666666666,0.8405797101449275,0.7033816425120774
PP15,0.7024793388429752,0.775,0.5609756097560976,0.6679878048780488,0.6326530612244898,1.0,0.9745762711864407
PP16,0.5736434108527132,0.3373493975903614,0.6857142857142857,0.5115318416523236,1.0,0.2028985507246377,0.6057971014492753
PP17,0.6171875,0.631578947368421,0.6016260162601627,0.6166024818142919,0.6461538461538462,0.6176470588235294,0.6428921568627451
PP18,0.6470588235294118,0.671875,0.6181818181818182,0.6450284090909091,0.7288135593220338,0.6231884057971014,0.7318840579710144
PP19,0.5271317829457365,0.5850340136054422,0.45045045045045046,0.5177422320279463,0.5512820512820513,0.6231884057971014,0.5446859903381642
PP2,0.6776859504132231,0.6929133858267716,0.6608695652173913,0.6768914755220814,0.6470588235294118,0.7457627118644068,0.7438490978676873
PP20,0.6046511627906976,0.6792452830188679,0.48484848484848486,0.5820468839336763,0.6,0.782608695652174,0.5579710144927537
PP21,0.6571428571428571,0.7096774193548387,0.5813953488372093,0.645536384096024,0.5641025641025641,0.9565217391304348,0.7350773765659543
PP22,0.6746031746031746,0.7092198581560284,0.6306306306306306,0.6699252443933295,0.6756756756756757,0.746268656716418,0.8408803440424993
PP23,0.578125,0.5,0.6351351351351351,0.5675675675675675,0.675,0.39705882352941174,0.7149509803921569
PP24,0.6846153846153846,0.768361581920904,0.5060240963855421,0.6371928391532231,0.6296296296296297,0.9855072463768116,0.6032311712995961
PP25,0.6875,0.7101449275362319,0.6610169491525424,0.6855809383443872,0.7,0.7205882352941176,0.7639705882352941
PP3,0.49606299212598426,0.5733333333333334,0.38461538461538464,0.478974358974359,0.5375,0.6142857142857143,0.4964912280701754
PP4,0.765625,0.75,0.7794117647058824,0.7647058823529411,0.8823529411764706,0.6521739130434783,0.8563006632277081
PP5,0.824,0.8493150684931506,0.7884615384615384,0.8188883034773445,0.7848101265822784,0.9253731343283582,0.8401955738548637
PP6,0.688,0.7194244604316546,0.6486486486486487,0.6840365545401517,0.684931506849315,0.7575757575757576,0.6815613764766307
PP7,0.5,0.4247787610619469,0.5578231292517006,0.49130094515682377,0.5581395348837209,0.34285714285714286,0.5721428571428572
PP8,0.7155172413793104,0.7814569536423841,0.5925925925925926,0.6870247731174883,0.6413043478260869,1.0,0.8584597085935177
PP9,0.6942148760330579,0.7784431137724551,0.5066666666666667,0.6425548902195609,0.6372549019607843,1.0,0.6917582417582417
MEAN±STD,0.6469±0.0784,0.6665±0.1205,0.5917±0.0986,0.6291±0.0800,0.6759±0.1224,0.7211±0.2261,0.7065±0.1196
