participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.5503875968992248,0.6027397260273972,0.573671497584541,129,69
2,0.628099173553719,0.4827586206896552,0.8108255877528704,121,59
3,0.3464566929133858,0.3025210084033613,0.2964912280701754,127,70
4,0.65625,0.6986301369863014,0.723409481699828,128,69
5,0.504,0.16216216216216217,0.6634071024189397,125,67
6,0.6904761904761905,0.7111111111111111,0.7343434343434343,126,66
7,0.6615384615384615,0.7142857142857143,0.7030952380952381,130,70
8,0.5258620689655172,0.5378151260504201,0.552185548617306,116,59
9,0.6967213114754098,0.7810650887573964,0.8430735930735931,122,66
10,0.515625,0.46551724137931033,0.5429410325422069,128,67
11,0.5118110236220472,0.5373134328358209,0.532901296111665,127,68
12,0.5426356589147286,0.48695652173913045,0.6142512077294685,129,69
13,0.6190476190476191,0.7037037037037037,0.6050505050505051,126,66
14,0.7674418604651163,0.7794117647058824,0.8777777777777778,129,69
15,0.6115702479338843,0.7080745341614907,0.7515035538545654,121,62
16,0.5581395348837209,0.47706422018348627,0.5782608695652174,129,69
17,0.7054263565891473,0.6779661016949152,0.8132850241545894,129,69
18,0.7058823529411765,0.7286821705426356,0.7976811594202898,119,69
19,0.6153846153846154,0.6575342465753424,0.6469470182941316,130,69
20,0.7751937984496124,0.7972027972027972,0.7891304347826087,129,69
21,0.6132075471698113,0.6870229007633588,0.7826086956521738,106,46
22,0.5396825396825397,0.618421052631579,0.5732355173286112,126,67
23,0.43410852713178294,0.45925925925925926,0.45652173913043476,129,69
24,0.8153846153846154,0.8235294117647058,0.9135186505108102,130,69
25,0.53125,0.5652173913043478,0.5857843137254902,128,68
