participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.6434108527131783,0.6714285714285714,0.6997584541062801,129,69
2,0.6446280991735537,0.6194690265486725,0.7238928376161837,121,59
3,0.6220472440944882,0.6363636363636364,0.7258145363408521,127,70
4,0.8359375,0.8205128205128205,0.9867354458364038,128,69
5,0.712,0.7567567567567568,0.7781780751415337,125,67
6,0.7380952380952381,0.7555555555555555,0.7712121212121212,126,66
7,0.5384615384615384,0.5384615384615384,0.6083333333333333,130,70
8,0.6293103448275862,0.6766917293233082,0.6449598572702944,116,59
9,0.7131147540983607,0.7741935483870968,0.766504329004329,122,66
10,0.515625,0.44642857142857145,0.601174455590898,128,67
11,0.5433070866141733,0.5538461538461539,0.6129112662013958,127,68
12,0.7054263565891473,0.7564102564102564,0.7978260869565217,129,69
13,0.6746031746031746,0.7210884353741497,0.7406565656565656,126,66
14,0.6744186046511628,0.75,0.6900966183574879,129,69
15,0.6942148760330579,0.7701863354037267,0.6593767085839257,121,62
16,0.5038759689922481,0.2,0.5239130434782608,129,69
17,0.6356589147286822,0.6845637583892618,0.678743961352657,129,69
18,0.6890756302521008,0.7412587412587412,0.6962318840579711,119,69
19,0.49230769230769234,0.46774193548387094,0.5825611784271798,130,69
20,0.6589147286821705,0.6944444444444444,0.7342995169082125,129,69
21,0.6226415094339622,0.6491228070175439,0.7217391304347827,106,46
22,0.6746031746031746,0.6554621848739496,0.795092334935492,126,67
23,0.7441860465116279,0.762589928057554,0.8359903381642512,129,69
24,0.7230769230769231,0.7777777777777778,0.7742931812782133,130,69
25,0.6875,0.6721311475409836,0.7220588235294118,128,68
