participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.7209302325581395,0.7631578947368421,0.7881642512077294,129,69
2,0.6115702479338843,0.6178861788617886,0.7274466921815199,121,59
3,0.5433070866141733,0.5735294117647058,0.6130325814536342,127,70
4,0.8359375,0.832,0.9403095062638172,128,69
5,0.704,0.7643312101910829,0.779722079258878,125,67
6,0.6825396825396826,0.7435897435897436,0.7512626262626263,126,66
7,0.6692307692307692,0.6950354609929078,0.714047619047619,130,70
8,0.5689655172413793,0.6031746031746031,0.6375260184359204,116,59
9,0.6639344262295082,0.757396449704142,0.7424242424242424,122,66
10,0.65625,0.6451612903225806,0.7438218742353805,128,67
11,0.5826771653543307,0.576,0.5944666001994019,127,68
12,0.6976744186046512,0.723404255319149,0.801207729468599,129,69
13,0.6031746031746031,0.6621621621621622,0.6691919191919192,126,66
14,0.6511627906976745,0.7058823529411765,0.7084541062801932,129,69
15,0.6611570247933884,0.7453416149068323,0.8086386003280481,121,62
16,0.5271317829457365,0.3711340206185567,0.5471014492753623,129,69
17,0.5968992248062015,0.6231884057971014,0.6618357487922706,129,69
18,0.7310924369747899,0.7948717948717948,0.6942028985507246,119,69
19,0.5076923076923077,0.4576271186440678,0.6372059871703493,130,69
20,0.6821705426356589,0.7354838709677419,0.6700483091787439,129,69
21,0.660377358490566,0.7049180327868853,0.7681159420289855,106,46
22,0.5317460317460317,0.5426356589147286,0.6645585631166203,126,67
23,0.6434108527131783,0.640625,0.6811594202898551,129,69
24,0.6923076923076923,0.75,0.7626514611546686,130,69
25,0.6015625,0.5853658536585366,0.6276960784313725,128,68
