participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.6589147286821705,0.725,0.6695652173913044,129,69
2,0.6859504132231405,0.6984126984126984,0.7720065609622745,121,59
3,0.33070866141732286,0.27350427350427353,0.4253132832080201,127,70
4,0.6796875,0.7172413793103448,0.8042250061409973,128,69
5,0.64,0.6017699115044248,0.7529593412249099,125,67
6,0.7063492063492064,0.7516778523489933,0.7972222222222223,126,66
7,0.6230769230769231,0.6797385620915033,0.6698809523809524,130,70
8,0.646551724137931,0.6962962962962963,0.6057091882247992,116,59
9,0.7131147540983607,0.7878787878787878,0.871482683982684,122,66
10,0.578125,0.5909090909090909,0.5705896745779301,128,67
11,0.5275590551181102,0.5384615384615384,0.6044366899302094,127,68
12,0.7751937984496124,0.8,0.7999999999999999,129,69
13,0.7142857142857143,0.7831325301204819,0.6909090909090909,126,66
14,0.7829457364341085,0.8133333333333334,0.8884057971014493,129,69
15,0.628099173553719,0.7239263803680982,0.6052487698195735,121,62
16,0.5736434108527132,0.4329896907216495,0.5774154589371981,129,69
17,0.6976744186046512,0.7346938775510204,0.7777777777777778,129,69
18,0.7310924369747899,0.7746478873239436,0.8078260869565217,119,69
19,0.5769230769230769,0.5864661654135338,0.6749821810406271,130,69
20,0.6201550387596899,0.6838709677419355,0.6673913043478261,129,69
21,0.6037735849056604,0.6865671641791045,0.7597826086956522,106,46
22,0.5873015873015873,0.675,0.5701998482165445,126,67
23,0.6356589147286822,0.6802721088435374,0.728743961352657,129,69
24,0.8,0.8333333333333334,0.9097172725112854,130,69
25,0.625,0.6619718309859155,0.7401960784313726,128,68
