participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.6744186046511628,0.6911764705882353,0.7509661835748792,129,69
2,0.6694214876033058,0.7014925373134329,0.7342810278840897,121,59
3,0.5748031496062992,0.5970149253731343,0.6112781954887219,127,70
4,0.8046875,0.8120300751879699,0.8882338491771063,128,69
5,0.704,0.7549668874172185,0.7608080288214102,125,67
6,0.6984126984126984,0.7432432432432432,0.7593434343434343,126,66
7,0.6153846153846154,0.6428571428571429,0.6757142857142857,130,70
8,0.5603448275862069,0.592,0.5718108831400535,116,59
9,0.6721311475409836,0.7590361445783133,0.7821969696969697,122,66
10,0.625,0.6363636363636364,0.6897479814044531,128,67
11,0.5669291338582677,0.56,0.5441176470588235,127,68
12,0.7286821705426356,0.782608695652174,0.8235507246376812,129,69
13,0.6428571428571429,0.6938775510204082,0.705050505050505,126,66
14,0.6666666666666666,0.7329192546583851,0.6990338164251209,129,69
15,0.6528925619834711,0.7375,0.7290869327501367,121,62
16,0.5891472868217055,0.4536082474226804,0.5596618357487924,129,69
17,0.6511627906976745,0.6896551724137931,0.6794685990338165,129,69
18,0.6974789915966386,0.76,0.7757971014492753,119,69
19,0.5461538461538461,0.5426356589147286,0.6258018531717747,130,69
20,0.627906976744186,0.6842105263157895,0.6821256038647343,129,69
21,0.6226415094339622,0.6875,0.688768115942029,106,46
22,0.626984126984127,0.6412213740458015,0.7242600556539338,126,67
23,0.627906976744186,0.68,0.7089371980676329,129,69
24,0.6692307692307692,0.7329192546583851,0.7127583749109052,130,69
25,0.65625,0.6811594202898551,0.7068627450980393,128,68
