participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.627906976744186,0.6521739130434783,0.6768115942028985,129,69
2,0.7355371900826446,0.7192982456140351,0.8378895571350464,121,59
3,0.7086614173228346,0.7516778523489933,0.7917293233082707,127,70
4,0.828125,0.8382352941176471,0.894620486366986,128,69
5,0.704,0.7672955974842768,0.6773031394750386,125,67
6,0.6666666666666666,0.7375,0.6659090909090909,126,66
7,0.5230769230769231,0.45614035087719296,0.6592857142857143,130,70
8,0.5603448275862069,0.6106870229007634,0.5795420755278026,116,59
9,0.6885245901639344,0.7738095238095238,0.8206168831168832,122,66
10,0.984375,0.9848484848484849,0.9987766087594813,128,67
11,0.6850393700787402,0.6296296296296297,0.7136091724825523,127,68
12,0.8527131782945736,0.8429752066115702,0.9821256038647344,129,69
13,0.7380952380952381,0.7924528301886793,0.8462121212121212,126,66
14,0.6976744186046512,0.7745664739884393,0.8942028985507247,129,69
15,0.6198347107438017,0.7294117647058823,0.8187534171678512,121,62
16,0.6666666666666666,0.5473684210526316,0.8028985507246376,129,69
17,0.7209302325581395,0.775,0.8628019323671497,129,69
18,0.6554621848739496,0.7602339181286549,0.753623188405797,119,69
19,0.17692307692307693,0.17054263565891473,0.18983131385127108,130,69
20,0.5503875968992248,0.3958333333333333,0.6461352657004831,129,69
21,0.6320754716981132,0.4507042253521127,0.711231884057971,106,46
22,0.873015873015873,0.8709677419354839,0.9620541360991652,126,67
23,0.6201550387596899,0.73224043715847,0.4072463768115942,129,69
24,0.823076923076923,0.8,0.9508196721311476,130,69
25,0.71875,0.7428571428571429,0.8117647058823529,128,68
