participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.7596899224806202,0.7559055118110236,0.8444444444444443,129,69
2,0.5619834710743802,0.576,0.6197375615090213,121,59
3,0.5511811023622047,0.5648854961832062,0.5924812030075188,127,70
4,0.609375,0.6621621621621622,0.6347334807172685,128,69
5,0.776,0.7971014492753623,0.8335048893463717,125,67
6,0.8095238095238095,0.8181818181818182,0.8767676767676769,126,66
7,0.5153846153846153,0.5987261146496815,0.6011904761904762,130,70
8,0.5517241379310345,0.6,0.5640796907523045,116,59
9,0.7622950819672131,0.7751937984496124,0.8785173160173161,122,66
10,0.53125,0.5,0.5549302666992905,128,67
11,0.7874015748031497,0.8111888111888111,0.8130608175473578,127,68
12,0.9069767441860465,0.9090909090909091,0.9830917874396135,129,69
13,0.8492063492063492,0.8652482269503546,0.9462121212121212,126,66
14,0.813953488372093,0.8309859154929577,0.8835748792270532,129,69
15,0.8677685950413223,0.875,0.9330235101148169,121,62
16,0.7364341085271318,0.7424242424242424,0.8051932367149758,129,69
17,0.7209302325581395,0.75,0.8335748792270531,129,69
18,0.7563025210084033,0.8,0.8243478260869566,119,69
19,0.6,0.6176470588235294,0.6502732240437159,130,69
20,0.627906976744186,0.6923076923076923,0.6393719806763285,129,69
21,0.5471698113207547,0.5384615384615384,0.675,106,46
22,0.8095238095238095,0.8208955223880597,0.8988110295977739,126,67
23,0.6589147286821705,0.7317073170731707,0.7396135265700483,129,69
24,0.4076923076923077,0.4122137404580153,0.4770729389403659,130,69
25,0.546875,0.5735294117647058,0.5522058823529412,128,68
