participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.7364341085271318,0.7536231884057971,0.7823671497584541,129,69
2,0.48760330578512395,0.5,0.5060142154182614,121,59
3,0.6299212598425197,0.6618705035971223,0.6598997493734335,127,70
4,0.9375,0.9402985074626866,0.9823139277818718,128,69
5,0.704,0.7131782945736435,0.7416366443643849,125,67
6,0.8492063492063492,0.8549618320610687,0.8926767676767676,126,66
7,0.5384615384615384,0.5588235294117647,0.5864285714285714,130,70
8,0.5775862068965517,0.6016260162601627,0.6351471900089206,116,59
9,0.7459016393442623,0.7633587786259542,0.8444264069264069,122,66
10,0.5390625,0.5203252032520326,0.5473452410080744,128,67
11,0.6614173228346457,0.6614173228346457,0.7961116650049851,127,68
12,0.8682170542635659,0.8682170542635659,0.9461352657004831,129,69
13,0.7698412698412699,0.7883211678832117,0.8696969696969697,126,66
14,0.6744186046511628,0.6865671641791045,0.7990338164251208,129,69
15,0.71900826446281,0.734375,0.8365226899945325,121,62
16,0.6511627906976745,0.6564885496183206,0.72487922705314,129,69
17,0.7829457364341085,0.8,0.8565217391304348,129,69
18,0.7647058823529411,0.7941176470588235,0.7733333333333333,119,69
19,0.6461538461538462,0.676056338028169,0.6752197671655975,130,69
20,0.6046511627906976,0.6530612244897959,0.646376811594203,129,69
21,0.6320754716981132,0.6213592233009708,0.6793478260869565,106,46
22,0.7936507936507936,0.803030303030303,0.8621300278269668,126,67
23,0.8449612403100775,0.855072463768116,0.9084541062801933,129,69
24,0.6461538461538462,0.6805555555555556,0.6635780470420527,130,69
25,0.71875,0.7313432835820896,0.7911764705882353,128,68
