participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.8217054263565892,0.8296296296296296,0.8869565217391304,129,69
2,0.5371900826446281,0.5692307692307692,0.5358119190814653,121,59
3,0.5984251968503937,0.6482758620689655,0.6892230576441103,127,70
4,0.828125,0.8493150684931506,0.864406779661017,128,69
5,0.648,0.6811594202898551,0.7084405558414822,125,67
6,0.8253968253968254,0.8405797101449275,0.8861111111111112,126,66
7,0.5615384615384615,0.5511811023622047,0.6473809523809524,130,70
8,0.5172413793103449,0.5625,0.5652691049658044,116,59
9,0.7213114754098361,0.746268656716418,0.8541666666666667,122,66
10,0.578125,0.5714285714285714,0.6696843650599462,128,67
11,0.8267716535433071,0.8513513513513513,0.8626620139581256,127,68
12,0.9534883720930233,0.9565217391304348,0.9942028985507246,129,69
13,0.8492063492063492,0.8633093525179856,0.916919191919192,126,66
14,0.8372093023255814,0.8489208633093526,0.9021739130434783,129,69
15,0.9008264462809917,0.9047619047619048,0.9699289229086934,121,62
16,0.7829457364341085,0.7971014492753623,0.8644927536231884,129,69
17,0.813953488372093,0.8378378378378378,0.8954106280193237,129,69
18,0.7478991596638656,0.7857142857142857,0.8008695652173914,119,69
19,0.7,0.7450980392156863,0.6982656212877167,130,69
20,0.5968992248062015,0.6438356164383562,0.6229468599033816,129,69
21,0.6226415094339622,0.6153846153846154,0.7130434782608697,106,46
22,0.8253968253968254,0.8382352941176471,0.8793321527953453,126,67
23,0.7286821705426356,0.779874213836478,0.8333333333333334,129,69
24,0.676923076923077,0.7341772151898734,0.6690425279163696,130,69
25,0.6875,0.7183098591549296,0.7580882352941176,128,68
