participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.7286821705426356,0.7445255474452555,0.8393719806763285,129,69
2,0.5619834710743802,0.624113475177305,0.6722252597047567,121,59
3,0.5826771653543307,0.6187050359712231,0.6508771929824562,127,70
4,0.734375,0.7901234567901234,0.8039793662490788,128,69
5,0.744,0.7714285714285715,0.8373648996397324,125,67
6,0.873015873015873,0.8873239436619719,0.9335858585858585,126,66
7,0.5615384615384615,0.6174496644295302,0.6233333333333334,130,70
8,0.5862068965517241,0.6417910447761194,0.5953018138566756,116,59
9,0.7295081967213115,0.762589928057554,0.8579545454545455,122,66
10,0.59375,0.6060606060606061,0.6726205040371911,128,67
11,0.7952755905511811,0.8311688311688312,0.8295114656031904,127,68
12,0.9457364341085271,0.9481481481481482,0.9905797101449275,129,69
13,0.8412698412698413,0.8591549295774648,0.9308080808080808,126,66
14,0.8372093023255814,0.851063829787234,0.9185990338164252,129,69
15,0.8677685950413223,0.873015873015873,0.972936030617824,121,62
16,0.7674418604651163,0.7761194029850746,0.8398550724637681,129,69
17,0.7984496124031008,0.8289473684210527,0.866183574879227,129,69
18,0.7394957983193278,0.7801418439716312,0.8492753623188405,119,69
19,0.5461538461538461,0.5874125874125874,0.6179615110477549,130,69
20,0.6201550387596899,0.6993865030674846,0.6277777777777778,129,69
21,0.6509433962264151,0.6666666666666666,0.7318840579710145,106,46
22,0.8571428571428571,0.8695652173913043,0.9144953200101189,126,67
23,0.7054263565891473,0.7654320987654321,0.8282608695652174,129,69
24,0.6076923076923076,0.6666666666666666,0.6129722024233785,130,69
25,0.7109375,0.7412587412587412,0.7218137254901962,128,68
