participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.7984496124031008,0.8059701492537313,0.881159420289855,129,69
2,0.5537190082644629,0.5909090909090909,0.5869327501366867,121,59
3,0.6377952755905512,0.6805555555555556,0.6766917293233082,127,70
4,0.8359375,0.8551724137931035,0.915499877180054,128,69
5,0.704,0.7175572519083969,0.7967061245496655,125,67
6,0.8412698412698413,0.8571428571428571,0.938131313131313,126,66
7,0.6153846153846154,0.5967741935483871,0.6357142857142857,130,70
8,0.5086206896551724,0.5511811023622047,0.5724055902468035,116,59
9,0.7950819672131147,0.8226950354609929,0.8709415584415583,122,66
10,0.6328125,0.5982905982905983,0.6092488377783214,128,67
11,0.8503937007874016,0.87248322147651,0.9087736789631107,127,68
12,0.9689922480620154,0.9710144927536232,0.9888888888888889,129,69
13,0.8015873015873016,0.8201438848920863,0.8845959595959596,126,66
14,0.7751937984496124,0.7913669064748201,0.8652173913043478,129,69
15,0.8760330578512396,0.88,0.9527063969382177,121,62
16,0.7441860465116279,0.7591240875912408,0.8495169082125603,129,69
17,0.7751937984496124,0.8,0.8714975845410629,129,69
18,0.7226890756302521,0.7480916030534351,0.8185507246376812,119,69
19,0.6230769230769231,0.6666666666666666,0.7030173437871229,130,69
20,0.5581395348837209,0.6122448979591837,0.6036231884057972,129,69
21,0.6415094339622641,0.6415094339622641,0.7123188405797103,106,46
22,0.8174603174603174,0.8321167883211679,0.8768024285352897,126,67
23,0.7906976744186046,0.8235294117647058,0.8502415458937198,129,69
24,0.6846153846153846,0.7453416149068323,0.6345925397956759,130,69
25,0.734375,0.7638888888888888,0.8003676470588236,128,68
