participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.8449612403100775,0.8333333333333334,0.9101449275362319,129,69
2,0.5950413223140496,0.5811965811965812,0.7370147621651176,121,59
3,0.9763779527559056,0.9781021897810219,0.9994987468671679,127,70
4,0.96875,0.9701492537313433,1.0,128,69
5,0.872,0.8857142857142857,0.9701492537313433,125,67
6,0.9920634920634921,0.9923664122137404,0.9952020202020202,126,66
7,0.7461538461538462,0.7226890756302521,0.9611904761904762,130,70
8,0.4482758620689655,0.5076923076923077,0.3565269104965805,116,59
9,0.9918032786885246,0.9923664122137404,0.998917748917749,122,66
10,0.796875,0.7592592592592593,0.8678737460239786,128,67
11,0.9606299212598425,0.9645390070921985,1.0,127,68
12,0.9922480620155039,0.9928057553956835,0.9942028985507246,129,69
13,1.0,1.0,1.0,126,66
14,0.6434108527131783,0.735632183908046,0.673671497584541,129,69
15,1.0,1.0,1.0,121,62
16,0.937984496124031,0.9384615384615385,0.9359903381642511,129,69
17,1.0,1.0,1.0,129,69
18,1.0,1.0,1.0,119,69
19,0.3923076923076923,0.4397163120567376,0.466143977191732,130,69
20,0.9457364341085271,0.950354609929078,0.9915458937198067,129,69
21,0.7358490566037735,0.6410256410256411,0.6431159420289855,106,46
22,0.9920634920634921,0.9924812030075187,1.0,126,67
23,0.9689922480620154,0.971830985915493,0.9995169082125603,129,69
24,0.9769230769230769,0.9777777777777777,0.9995248277500594,130,69
25,0.765625,0.810126582278481,0.9541666666666667,128,68
