participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.7906976744186046,0.7906976744186046,0.8577294685990339,129,69
2,0.5867768595041323,0.5689655172413793,0.6405139420448333,121,59
3,0.5590551181102362,0.582089552238806,0.6385964912280702,127,70
4,0.71875,0.7721518987341772,0.7671333824613117,128,69
5,0.712,0.75,0.8265568708183222,125,67
6,0.8174603174603174,0.8368794326241135,0.872979797979798,126,66
7,0.6230769230769231,0.6423357664233577,0.7023809523809523,130,70
8,0.5517241379310345,0.5666666666666667,0.5997621171573,116,59
9,0.819672131147541,0.8382352941176471,0.8988095238095238,122,66
10,0.546875,0.5797101449275363,0.5500367017372155,128,67
11,0.7874015748031497,0.8211920529801324,0.8255234297108675,127,68
12,0.9612403100775194,0.9629629629629629,0.9876811594202899,129,69
13,0.8333333333333334,0.8531468531468531,0.9464646464646465,126,66
14,0.875968992248062,0.8904109589041096,0.961352657004831,129,69
15,0.9173553719008265,0.9206349206349206,0.9745762711864407,121,62
16,0.7674418604651163,0.7727272727272727,0.8330917874396135,129,69
17,0.7441860465116279,0.7843137254901961,0.847584541062802,129,69
18,0.7310924369747899,0.7922077922077922,0.8220289855072463,119,69
19,0.6615384615384615,0.6857142857142857,0.6999287241625088,130,69
20,0.6046511627906976,0.6792452830188679,0.636231884057971,129,69
21,0.6226415094339622,0.5555555555555556,0.683695652173913,106,46
22,0.8174603174603174,0.8321167883211679,0.8633948899569948,126,67
23,0.6589147286821705,0.7066666666666667,0.7195652173913043,129,69
24,0.4846153846153846,0.5109489051094891,0.5390829175576146,130,69
25,0.6640625,0.6766917293233082,0.7044117647058823,128,68
