participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.7209302325581395,0.7272727272727273,0.8490338164251208,129,69
2,0.5041322314049587,0.5238095238095238,0.5924002186987425,121,59
3,0.5275590551181102,0.5774647887323944,0.6348370927318296,127,70
4,0.8203125,0.847682119205298,0.92090395480226,128,69
5,0.672,0.6962962962962963,0.7681420483787957,125,67
6,0.8253968253968254,0.8472222222222222,0.8977272727272727,126,66
7,0.5076923076923077,0.5,0.5835714285714286,130,70
8,0.5344827586206896,0.5714285714285714,0.5622955694320547,116,59
9,0.7786885245901639,0.8137931034482758,0.8860930735930737,122,66
10,0.578125,0.578125,0.6479080009787129,128,67
11,0.7874015748031497,0.8,0.8414755732801595,127,68
12,0.9302325581395349,0.9312977099236641,0.9942028985507246,129,69
13,0.8333333333333334,0.8467153284671532,0.9212121212121211,126,66
14,0.8604651162790697,0.8676470588235294,0.9275362318840579,129,69
15,0.8760330578512396,0.8818897637795275,0.9496992892290869,121,62
16,0.8062015503875969,0.8175182481751825,0.8975845410628019,129,69
17,0.7674418604651163,0.7887323943661971,0.891062801932367,129,69
18,0.7563025210084033,0.7883211678832117,0.8284057971014493,119,69
19,0.676923076923077,0.7272727272727273,0.674744594915657,130,69
20,0.5736434108527132,0.6206896551724138,0.6096618357487922,129,69
21,0.6037735849056604,0.6111111111111112,0.7159420289855072,106,46
22,0.8174603174603174,0.8368794326241135,0.8813559322033898,126,67
23,0.689922480620155,0.7560975609756098,0.8144927536231884,129,69
24,0.6230769230769231,0.6993865030674846,0.6193870277975767,130,69
25,0.6875,0.7183098591549296,0.7223039215686274,128,68
