participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.7286821705426356,0.7445255474452555,0.8385265700483091,129,69
2,0.5371900826446281,0.6,0.6850738108255878,121,59
3,0.5590551181102362,0.6164383561643836,0.6448621553884712,127,70
4,0.7890625,0.8322981366459627,0.8587570621468926,128,69
5,0.744,0.7746478873239436,0.8252702007205353,125,67
6,0.8253968253968254,0.8472222222222222,0.917929292929293,126,66
7,0.6384615384615384,0.656934306569343,0.7088095238095237,130,70
8,0.5862068965517241,0.6363636363636364,0.6196848052334225,116,59
9,0.7295081967213115,0.7659574468085106,0.8114177489177489,122,66
10,0.6171875,0.6370370370370371,0.6755566430144361,128,67
11,0.8188976377952756,0.8516129032258064,0.8384845463609173,127,68
12,0.9457364341085271,0.9481481481481482,0.9913043478260869,129,69
13,0.873015873015873,0.8823529411764706,0.9391414141414142,126,66
14,0.8604651162790697,0.8767123287671232,0.9396135265700484,129,69
15,0.9338842975206612,0.9365079365079365,0.9816839803171132,121,62
16,0.7364341085271318,0.7424242424242424,0.8270531400966183,129,69
17,0.7984496124031008,0.8289473684210527,0.86256038647343,129,69
18,0.7647058823529411,0.8108108108108109,0.8475362318840579,119,69
19,0.5384615384615384,0.5774647887323944,0.6113090995485864,130,69
20,0.6046511627906976,0.6871165644171779,0.6026570048309178,129,69
21,0.5849056603773585,0.5686274509803921,0.7235507246376811,106,46
22,0.8015873015873016,0.8201438848920863,0.9043764229698964,126,67
23,0.7131782945736435,0.7784431137724551,0.8567632850241546,129,69
24,0.5769230769230769,0.6496815286624203,0.560703254929912,130,69
25,0.7265625,0.7619047619047619,0.7318627450980392,128,68
