participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.7751937984496124,0.7751937984496124,0.8623188405797102,129,69
2,0.5537190082644629,0.5846153846153846,0.6068890103881902,121,59
3,0.5748031496062992,0.625,0.6526315789473685,127,70
4,0.828125,0.8513513513513513,0.9228690739376074,128,69
5,0.672,0.6962962962962963,0.7722593926917138,125,67
6,0.8412698412698413,0.8571428571428571,0.9295454545454545,126,66
7,0.6076923076923076,0.5785123966942148,0.5978571428571428,130,70
8,0.5,0.5084745762711864,0.5587273267915551,116,59
9,0.7622950819672131,0.7913669064748201,0.8603896103896104,122,66
10,0.6328125,0.6115702479338843,0.6327379495962808,128,67
11,0.8188976377952756,0.8391608391608392,0.8130608175473579,127,68
12,0.9224806201550387,0.9253731343283582,0.9881642512077295,129,69
13,0.8253968253968254,0.8382352941176471,0.9075757575757576,126,66
14,0.8062015503875969,0.8201438848920863,0.8780193236714975,129,69
15,0.8842975206611571,0.8870967741935484,0.9647348277747403,121,62
16,0.751937984496124,0.7647058823529411,0.8652173913043478,129,69
17,0.7984496124031008,0.8169014084507042,0.8847826086956522,129,69
18,0.7478991596638656,0.7727272727272727,0.8495652173913043,119,69
19,0.6230769230769231,0.6573426573426573,0.6707056307911619,130,69
20,0.5658914728682171,0.6266666666666667,0.5983091787439614,129,69
21,0.6037735849056604,0.5882352941176471,0.7123188405797101,106,46
22,0.753968253968254,0.7559055118110236,0.8420187199595244,126,67
23,0.7286821705426356,0.779874213836478,0.840096618357488,129,69
24,0.6461538461538462,0.7160493827160493,0.6303159895462105,130,69
25,0.6640625,0.6993006993006993,0.7372549019607844,128,68
