participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.5813953488372093,0.5909090909090909,0.66231884057971,129,69
2,0.6446280991735537,0.6260869565217392,0.7195188627665392,121,59
3,0.7795275590551181,0.7941176470588235,0.8538847117794487,127,70
4,1.0,1.0,1.0,128,69
5,0.96,0.9624060150375939,0.9866186309830159,125,67
6,0.9761904761904762,0.9774436090225563,0.9984848484848485,126,66
7,0.7923076923076923,0.8163265306122449,0.9140476190476191,130,70
8,0.46551724137931033,0.5303030303030303,0.3062741599762117,116,59
9,0.9918032786885246,0.9923664122137404,1.0,122,66
10,0.9140625,0.9105691056910569,0.9897235135796427,128,67
11,0.984251968503937,0.9850746268656716,0.9997507477567299,127,68
12,0.9844961240310077,0.9857142857142858,0.9951690821256038,129,69
13,1.0,1.0,1.0,126,66
14,0.8217054263565892,0.8516129032258064,0.9589371980676328,129,69
15,1.0,1.0,1.0,121,62
16,0.937984496124031,0.9384615384615385,0.9560386473429952,129,69
17,0.9844961240310077,0.9852941176470589,0.9995169082125603,129,69
18,1.0,1.0,1.0,119,69
19,0.3153846153846154,0.3597122302158273,0.2028985507246377,130,69
20,0.5426356589147286,0.6242038216560509,0.5603864734299517,129,69
21,0.7452830188679245,0.7378640776699029,0.8869565217391304,106,46
22,0.9365079365079365,0.9384615384615385,0.990134075385783,126,67
23,0.937984496124031,0.9452054794520548,0.9997584541062802,129,69
24,0.7461538461538462,0.8047337278106509,0.8334521263958186,130,69
25,0.328125,0.2833333333333333,0.38774509803921564,128,68
