participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.6511627906976745,0.6153846153846154,0.6800724637681159,129,69
2,0.39669421487603307,0.48951048951048953,0.4572170585019136,121,59
3,0.36220472440944884,0.4172661870503597,0.3538847117794486,127,70
4,0.5390625,0.6289308176100629,0.45860967821174164,128,69
5,0.624,0.6356589147286822,0.7204065877509007,125,67
6,0.5396825396825397,0.4423076923076923,0.5609848484848485,126,66
7,0.4,0.35,0.43583333333333335,130,70
8,0.3103448275862069,0.3442622950819672,0.3010704727921499,116,59
9,0.5737704918032787,0.5517241379310345,0.640422077922078,122,66
10,0.5234375,0.49586776859504134,0.5471005627599707,128,67
11,0.7165354330708661,0.775,0.6399551345962113,127,68
12,0.7131782945736435,0.7375886524822695,0.821256038647343,129,69
13,0.6746031746031746,0.7284768211920529,0.6977272727272728,126,66
14,0.7596899224806202,0.7769784172661871,0.8190821256038647,129,69
15,0.5206611570247934,0.6027397260273972,0.45735374521596506,121,62
16,0.6046511627906976,0.5785123966942148,0.6613526570048309,129,69
17,0.627906976744186,0.6962025316455697,0.6940821256038647,129,69
18,0.5882352941176471,0.5950413223140496,0.5769565217391305,119,69
19,0.47692307692307695,0.5277777777777778,0.455096222380613,130,69
20,0.5271317829457365,0.5793103448275863,0.5192028985507247,129,69
21,0.5943396226415094,0.5376344086021505,0.6420289855072464,106,46
22,0.7777777777777778,0.7941176470588235,0.7609410574247407,126,67
23,0.35658914728682173,0.5146198830409356,0.303743961352657,129,69
24,0.43846153846153846,0.4251968503937008,0.40057020669992877,130,69
25,0.6015625,0.6222222222222222,0.545343137254902,128,68
