participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.5891472868217055,0.5309734513274337,0.6707729468599034,129,69
2,0.4297520661157025,0.24175824175824176,0.3277747402952434,121,59
3,0.33070866141732286,0.2857142857142857,0.3137844611528823,127,70
4,0.6953125,0.7346938775510204,0.7504298698108574,128,69
5,0.488,0.49206349206349204,0.5185280494081317,125,67
6,0.7142857142857143,0.6842105263157895,0.8414141414141414,126,66
7,0.2846153846153846,0.23140495867768596,0.29,130,70
8,0.22413793103448276,0.26229508196721313,0.21171573000297356,116,59
9,0.48360655737704916,0.43243243243243246,0.5343614718614718,122,66
10,0.6171875,0.5739130434782609,0.4670907756300465,128,67
11,0.7716535433070866,0.8242424242424242,0.8063310069790628,127,68
12,0.5813953488372093,0.5344827586206896,0.6782608695652175,129,69
13,0.6190476190476191,0.6065573770491803,0.7103535353535354,126,66
14,0.5968992248062015,0.5517241379310345,0.7258454106280192,129,69
15,0.7603305785123967,0.7387387387387387,0.7392017495899398,121,62
16,0.7829457364341085,0.7704918032786885,0.8845410628019325,129,69
17,0.7131782945736435,0.7086614173228346,0.8009661835748793,129,69
18,0.4369747899159664,0.37383177570093457,0.566376811594203,119,69
19,0.45384615384615384,0.3238095238095238,0.5743644571157045,130,69
20,0.40310077519379844,0.3937007874015748,0.4321256038647343,129,69
21,0.5094339622641509,0.38095238095238093,0.45688405797101445,106,46
22,0.746031746031746,0.7538461538461538,0.7442448773083733,126,67
23,0.5813953488372093,0.71875,0.7768115942028986,129,69
24,0.4076923076923077,0.49673202614379086,0.4316939890710382,130,69
25,0.65625,0.6666666666666666,0.656372549019608,128,68
