participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.6976744186046512,0.7111111111111111,0.8045893719806763,129,69
2,0.4793388429752066,0.496,0.407053034445052,121,59
3,0.4015748031496063,0.5128205128205128,0.4610275689223058,127,70
4,0.6484375,0.7398843930635838,0.5281257676246622,128,69
5,0.632,0.6714285714285714,0.7040658775090066,125,67
6,0.7380952380952381,0.7692307692307693,0.8376262626262626,126,66
7,0.5,0.5323741007194245,0.4935714285714286,130,70
8,0.3706896551724138,0.48226950354609927,0.27088908712459114,116,59
9,0.5737704918032787,0.6486486486486487,0.6634199134199135,122,66
10,0.5546875,0.5581395348837209,0.6094935160264252,128,67
11,0.6850393700787402,0.7619047619047619,0.5954636091724825,127,68
12,0.7596899224806202,0.7801418439716312,0.844927536231884,129,69
13,0.753968253968254,0.7973856209150327,0.7856060606060605,126,66
14,0.8062015503875969,0.8299319727891157,0.8183574879227054,129,69
15,0.8181818181818182,0.8225806451612904,0.8712411153635866,121,62
16,0.7751937984496124,0.7943262411347518,0.8381642512077294,129,69
17,0.7596899224806202,0.7891156462585034,0.826328502415459,129,69
18,0.6638655462184874,0.7222222222222222,0.715072463768116,119,69
19,0.35384615384615387,0.3225806451612903,0.34556901876930396,130,69
20,0.3875968992248062,0.46258503401360546,0.4038647342995169,129,69
21,0.5283018867924528,0.5454545454545454,0.5101449275362319,106,46
22,0.7857142857142857,0.8258064516129032,0.8305084745762712,126,67
23,0.2558139534883721,0.2835820895522388,0.27560386473429954,129,69
24,0.5076923076923077,0.6049382716049383,0.49037776193870275,130,69
25,0.65625,0.6901408450704225,0.6144607843137255,128,68
