participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.7054263565891473,0.6885245901639344,0.7473429951690821,129,69
2,0.5041322314049587,0.4827586206896552,0.47840349917987973,121,59
3,0.41732283464566927,0.463768115942029,0.3892230576441103,127,70
4,0.609375,0.7159090909090909,0.4831736674035863,128,69
5,0.608,0.631578947368421,0.7076685537828101,125,67
6,0.6587301587301587,0.6386554621848739,0.7473484848484848,126,66
7,0.46153846153846156,0.453125,0.424047619047619,130,70
8,0.3879310344827586,0.46616541353383456,0.29765090692833784,116,59
9,0.6147540983606558,0.6115702479338843,0.6634199134199135,122,66
10,0.5078125,0.42201834862385323,0.5710790310741376,128,67
11,0.6929133858267716,0.7577639751552795,0.6456879361914257,127,68
12,0.6821705426356589,0.6962962962962963,0.816183574879227,129,69
13,0.5,0.43243243243243246,0.5757575757575757,126,66
14,0.7829457364341085,0.8082191780821918,0.8202898550724638,129,69
15,0.7520661157024794,0.765625,0.7911427009294696,121,62
16,0.6666666666666666,0.6504065040650406,0.6785024154589372,129,69
17,0.6356589147286822,0.6802721088435374,0.6929951690821256,129,69
18,0.6302521008403361,0.639344262295082,0.6582608695652173,119,69
19,0.3923076923076923,0.368,0.38358279876455215,130,69
20,0.6434108527131783,0.6973684210526315,0.6324879227053141,129,69
21,0.5943396226415094,0.5168539325842697,0.6054347826086957,106,46
22,0.7063492063492064,0.7218045112781954,0.653680748798381,126,67
23,0.3798449612403101,0.5180722891566265,0.36437198067632853,129,69
24,0.4076923076923077,0.36363636363636365,0.33000712758374917,130,69
25,0.578125,0.6029411764705882,0.5534313725490196,128,68
