participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.7286821705426356,0.7286821705426356,0.81231884057971,129,69
2,0.6363636363636364,0.6140350877192983,0.6167304537998907,121,59
3,0.3858267716535433,0.5063291139240507,0.36817042606516287,127,70
4,0.6328125,0.718562874251497,0.6573323507737657,128,69
5,0.616,0.6363636363636364,0.7034225424601133,125,67
6,0.7777777777777778,0.7941176470588235,0.8411616161616161,126,66
7,0.46153846153846156,0.4696969696969697,0.4519047619047619,130,70
8,0.3103448275862069,0.40298507462686567,0.25810288432946776,116,59
9,0.6639344262295082,0.6771653543307087,0.6785714285714286,122,66
10,0.5078125,0.45217391304347826,0.5263029116711524,128,67
11,0.7086614173228346,0.7730061349693251,0.7379112662013958,127,68
12,0.751937984496124,0.7714285714285715,0.7958937198067633,129,69
13,0.7222222222222222,0.7682119205298014,0.7308080808080808,126,66
14,0.7984496124031008,0.821917808219178,0.7934782608695652,129,69
15,0.7768595041322314,0.773109243697479,0.8477310005467469,121,62
16,0.6976744186046512,0.7153284671532847,0.7661835748792271,129,69
17,0.7674418604651163,0.7887323943661971,0.8064009661835748,129,69
18,0.7058823529411765,0.72,0.7386956521739131,119,69
19,0.36153846153846153,0.2905982905982906,0.32276075077215494,130,69
20,0.5968992248062015,0.6338028169014085,0.5650966183574879,129,69
21,0.5754716981132075,0.4827586206896552,0.5869565217391305,106,46
22,0.6984126984126984,0.7205882352941176,0.8138122944599039,126,67
23,0.24806201550387597,0.224,0.2606280193236715,129,69
24,0.5,0.5962732919254659,0.5542884295557139,130,69
25,0.53125,0.5384615384615384,0.5818627450980393,128,68
