participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.7441860465116279,0.717948717948718,0.9347826086956521,129,69
2,0.30578512396694213,0.4166666666666667,0.15172225259704755,121,59
3,0.44881889763779526,0.5512820512820513,0.6491228070175438,127,70
4,0.421875,0.421875,0.5458118398427905,128,69
5,0.912,0.9185185185185185,0.9655172413793104,125,67
6,0.9126984126984127,0.9197080291970803,0.9287878787878788,126,66
7,0.3,0.11650485436893204,0.4980952380952381,130,70
8,0.3103448275862069,0.1836734693877551,0.3568242640499554,116,59
9,0.9016393442622951,0.9166666666666666,0.9586038961038961,122,66
10,0.6328125,0.5252525252525253,0.48079275752385614,128,67
11,0.8110236220472441,0.84,0.9601196410767697,127,68
12,0.8914728682170543,0.9054054054054054,0.9818840579710146,129,69
13,0.9206349206349206,0.9295774647887324,0.9732323232323232,126,66
14,0.875968992248062,0.8904109589041096,0.9386473429951692,129,69
15,0.9008264462809917,0.9032258064516129,0.9338436303991252,121,62
16,0.875968992248062,0.8904109589041096,0.9057971014492754,129,69
17,0.9224806201550387,0.9285714285714286,0.9584541062801932,129,69
18,0.907563025210084,0.9261744966442953,0.9310144927536232,119,69
19,0.2076923076923077,0.2896551724137931,0.20123544784984557,130,69
20,0.27906976744186046,0.33093525179856115,0.16497584541062804,129,69
21,0.7264150943396226,0.6329113924050633,0.6626811594202899,106,46
22,0.8650793650793651,0.8661417322834646,0.9488995699468757,126,67
23,0.5426356589147286,0.700507614213198,0.47198067632850244,129,69
24,0.5846153846153846,0.5,0.5804229033024472,130,69
25,0.8203125,0.7964601769911505,0.953186274509804,128,68
