participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.5968992248062015,0.6388888888888888,0.6590579710144927,129,69
2,0.5537190082644629,0.55,0.5664297430289776,121,59
3,0.6456692913385826,0.7019867549668874,0.6779448621553885,127,70
4,0.7890625,0.8258064516129032,0.8734954556619994,128,69
5,0.608,0.6474820143884892,0.6672671127123005,125,67
6,0.7222222222222222,0.75177304964539,0.7957070707070707,126,66
7,0.6692307692307692,0.6950354609929078,0.7220238095238096,130,70
8,0.6120689655172413,0.6564885496183206,0.655367231638418,116,59
9,0.5983606557377049,0.6711409395973155,0.6204004329004329,122,66
10,0.578125,0.5645161290322581,0.6368974798140444,128,67
11,0.6771653543307087,0.7388535031847133,0.8148055832502492,127,68
12,0.5736434108527132,0.6405228758169934,0.7021739130434783,129,69
13,0.6507936507936508,0.6811594202898551,0.7292929292929293,126,66
14,0.6976744186046512,0.7771428571428571,0.7082125603864734,129,69
15,0.6694214876033058,0.7142857142857143,0.7542372881355932,121,62
16,0.5193798449612403,0.5230769230769231,0.6073671497584541,129,69
17,0.6511627906976745,0.7169811320754716,0.6664251207729469,129,69
18,0.6302521008403361,0.7142857142857143,0.6678260869565217,119,69
19,0.6076923076923076,0.6751592356687898,0.6538370159182704,130,69
20,0.627906976744186,0.6962025316455697,0.6830917874396135,129,69
21,0.5849056603773585,0.5111111111111111,0.6340579710144927,106,46
22,0.746031746031746,0.7611940298507462,0.835820895522388,126,67
23,0.7209302325581395,0.7631578947368421,0.832367149758454,129,69
24,0.5076923076923077,0.5362318840579711,0.6139225469232596,130,69
25,0.609375,0.6527777777777778,0.6946078431372549,128,68
