participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.6124031007751938,0.6575342465753424,0.6584541062801933,129,69
2,0.4462809917355372,0.47244094488188976,0.5084745762711864,121,59
3,0.5905511811023622,0.6338028169014085,0.6388471177944863,127,70
4,0.9296875,0.9343065693430657,0.9832964873495456,128,69
5,0.608,0.631578947368421,0.6984045290787442,125,67
6,0.7063492063492064,0.7299270072992701,0.7691919191919192,126,66
7,0.5923076923076923,0.624113475177305,0.6516666666666667,130,70
8,0.646551724137931,0.6821705426356589,0.7213797204876599,116,59
9,0.6557377049180327,0.6865671641791045,0.6999458874458875,122,66
10,0.5703125,0.5801526717557252,0.6354294103254221,128,67
11,0.7322834645669292,0.7638888888888888,0.825024925224327,127,68
12,0.8294573643410853,0.8405797101449275,0.8893719806763285,129,69
13,0.6507936507936508,0.6716417910447762,0.7414141414141414,126,66
14,0.6046511627906976,0.6330935251798561,0.7164251207729468,129,69
15,0.6859504132231405,0.7246376811594203,0.7449425915800985,121,62
16,0.5581395348837209,0.5648854961832062,0.6413043478260869,129,69
17,0.627906976744186,0.6712328767123288,0.6717391304347826,129,69
18,0.6638655462184874,0.7014925373134329,0.7107246376811593,119,69
19,0.6230769230769231,0.6666666666666666,0.6462342599192207,130,69
20,0.6434108527131783,0.6805555555555556,0.7429951690821256,129,69
21,0.6226415094339622,0.6296296296296297,0.6945652173913043,106,46
22,0.7380952380952381,0.7480916030534351,0.8461927649886163,126,67
23,0.8527131782945736,0.8652482269503546,0.9077294685990339,129,69
24,0.6461538461538462,0.6805555555555556,0.692088382038489,130,69
25,0.7109375,0.7338129496402878,0.7894607843137256,128,68
