participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.627906976744186,0.6883116883116883,0.6415458937198067,129,69
2,0.512396694214876,0.528,0.5459267359212685,121,59
3,0.6220472440944882,0.6883116883116883,0.6581453634085214,127,70
4,0.84375,0.863013698630137,0.9103414394497666,128,69
5,0.616,0.6470588235294118,0.6533710756562018,125,67
6,0.6825396825396826,0.7183098591549296,0.7335858585858586,126,66
7,0.6,0.6578947368421053,0.6280952380952382,130,70
8,0.6379310344827587,0.6865671641791045,0.6859946476360392,116,59
9,0.6639344262295082,0.7092198581560284,0.6701839826839826,122,66
10,0.59375,0.6231884057971014,0.6784927819916808,128,67
11,0.7007874015748031,0.7682926829268293,0.7699401794616152,127,68
12,0.8604651162790697,0.8695652173913043,0.9154589371980677,129,69
13,0.6904761904761905,0.738255033557047,0.7664141414141414,126,66
14,0.6434108527131783,0.7012987012987013,0.7089371980676329,129,69
15,0.7024793388429752,0.7567567567567568,0.7681793329688354,121,62
16,0.627906976744186,0.6470588235294118,0.7132850241545894,129,69
17,0.6976744186046512,0.7515923566878981,0.7007246376811594,129,69
18,0.6638655462184874,0.7222222222222222,0.6814492753623188,119,69
19,0.6846153846153846,0.7453416149068323,0.6851983844143502,130,69
20,0.6821705426356589,0.7421383647798742,0.6954106280193237,129,69
21,0.6037735849056604,0.6379310344827587,0.7416666666666667,106,46
22,0.7777777777777778,0.8028169014084507,0.8631419175309891,126,67
23,0.8062015503875969,0.8407643312101911,0.8864734299516908,129,69
24,0.6076923076923076,0.6622516556291391,0.6571632216678546,130,69
25,0.71875,0.7692307692307693,0.8269607843137254,128,68
