participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.6201550387596899,0.6797385620915033,0.6538647342995169,129,69
2,0.5619834710743802,0.6293706293706294,0.5978676872607983,121,59
3,0.6614173228346457,0.7225806451612903,0.7208020050125313,127,70
4,0.796875,0.8289473684210527,0.8862687300417588,128,69
5,0.704,0.7482993197278912,0.7004632012352033,125,67
6,0.746031746031746,0.7746478873239436,0.8063131313131313,126,66
7,0.6692307692307692,0.7189542483660131,0.7438095238095238,130,70
8,0.646551724137931,0.6962962962962963,0.6904549509366636,116,59
9,0.5983606557377049,0.6620689655172414,0.6420454545454545,122,66
10,0.5390625,0.5755395683453237,0.648642035723024,128,67
11,0.7165354330708661,0.7804878048780488,0.8579262213359921,127,68
12,0.6821705426356589,0.7453416149068323,0.8050724637681159,129,69
13,0.7063492063492064,0.7448275862068966,0.7868686868686868,126,66
14,0.6511627906976745,0.7337278106508875,0.6910628019323671,129,69
15,0.7107438016528925,0.7619047619047619,0.7517769272826682,121,62
16,0.5271317829457365,0.5734265734265734,0.6650966183574879,129,69
17,0.7131782945736435,0.7701863354037267,0.6579710144927535,129,69
18,0.6890756302521008,0.7612903225806451,0.7292753623188406,119,69
19,0.6692307692307692,0.7329192546583851,0.6892373485388453,130,69
20,0.6589147286821705,0.7380952380952381,0.6893719806763284,129,69
21,0.5754716981132075,0.6017699115044248,0.6833333333333333,106,46
22,0.7857142857142857,0.8111888111888111,0.8441689855805717,126,67
23,0.7364341085271318,0.782051282051282,0.9094202898550725,129,69
24,0.5461538461538461,0.6143790849673203,0.5946780708006653,130,69
25,0.703125,0.7625,0.7794117647058825,128,68
