participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.6046511627906976,0.6622516556291391,0.6243961352657005,129,69
2,0.5206611570247934,0.5606060606060606,0.5418261344997267,121,59
3,0.6299212598425197,0.6845637583892618,0.6571428571428571,127,70
4,0.8359375,0.8590604026845637,0.9150085973962172,128,69
5,0.688,0.7272727272727273,0.6999485331960886,125,67
6,0.6984126984126984,0.7285714285714285,0.7724747474747475,126,66
7,0.676923076923077,0.7083333333333334,0.7016666666666668,130,70
8,0.7155172413793104,0.7555555555555555,0.7216770740410349,116,59
9,0.6639344262295082,0.7050359712230215,0.6902056277056277,122,66
10,0.609375,0.609375,0.6995351113286029,128,67
11,0.7244094488188977,0.7852760736196319,0.8115653040877369,127,68
12,0.8217054263565892,0.8435374149659864,0.898792270531401,129,69
13,0.6587301587301587,0.6861313868613139,0.7691919191919192,126,66
14,0.5658914728682171,0.6266666666666667,0.6591787439613527,129,69
15,0.7024793388429752,0.7464788732394366,0.7878622197922361,121,62
16,0.5968992248062015,0.6388888888888888,0.6864734299516908,129,69
17,0.6744186046511628,0.7272727272727273,0.6675120772946859,129,69
18,0.6890756302521008,0.7448275862068966,0.7076811594202899,119,69
19,0.6846153846153846,0.7320261437908496,0.7445949156569256,130,69
20,0.6666666666666666,0.7261146496815286,0.7070048309178744,129,69
21,0.5849056603773585,0.6140350877192983,0.7010869565217391,106,46
22,0.7698412698412699,0.7883211678832117,0.8155831014419428,126,67
23,0.7751937984496124,0.8129032258064516,0.8977053140096618,129,69
24,0.6230769230769231,0.6754966887417219,0.6248515086718935,130,69
25,0.75,0.7894736842105263,0.7931372549019609,128,68
