participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.7054263565891473,0.7076923076923077,0.8082125603864735,129,69
2,0.5289256198347108,0.5511811023622047,0.6060688901038819,121,59
3,0.49606299212598426,0.5789473684210527,0.44761904761904764,127,70
4,0.9375,0.9402985074626866,0.9938590027020388,128,69
5,0.736,0.7480916030534351,0.8607822954194544,125,67
6,0.8968253968253969,0.8992248062015504,0.9664141414141415,126,66
7,0.5923076923076923,0.5470085470085471,0.6802380952380952,130,70
8,0.6379310344827587,0.72,0.5941123996431757,116,59
9,0.9262295081967213,0.926829268292683,0.9962121212121212,122,66
10,0.9296875,0.9343065693430657,0.991436261316369,128,67
11,0.984251968503937,0.9855072463768116,1.0,127,68
12,0.9534883720930233,0.9583333333333334,0.9661835748792271,129,69
13,0.9523809523809523,0.9545454545454546,0.9853535353535353,126,66
14,0.4263565891472868,0.421875,0.5398550724637682,129,69
15,1.0,1.0,1.0,121,62
16,0.8914728682170543,0.890625,0.9328502415458937,129,69
17,0.9767441860465116,0.9777777777777777,0.9881642512077295,129,69
18,0.7142857142857143,0.7213114754098361,0.7982608695652174,119,69
19,0.6384615384615384,0.7251461988304093,0.6001425516749822,130,69
20,0.9922480620155039,0.9927007299270073,0.9990338164251208,129,69
21,0.9433962264150944,0.9387755102040817,1.0,106,46
22,1.0,1.0,1.0,126,67
23,0.9534883720930233,0.9583333333333334,0.9995169082125603,129,69
24,0.8076923076923077,0.7787610619469026,1.0,130,69
25,0.9453125,0.9481481481481482,0.9882352941176471,128,68
