model,accuracy_mean,accuracy_std,f1_mean,f1_std,auc_mean,auc_std,n_folds,total_test,experiment,description,n_features
B_zscore_Transformer,0.8617628930614398,0.17906559442767617,0.8655048283045623,0.17082524749437555,0.8981759016799995,0.17994563898534413,25,3139,B_zscore,Per-person z-scored (all features),21
E_computer_only_Transformer,0.8226590303085743,0.17936689499548333,0.8322168139868252,0.16979383026264852,0.8697020372200193,0.1801321397612866,25,3139,E_computer_only,Computer-only (per-person z-scored),22
C_all_fixes_Transformer,0.8148176362652616,0.21737999230464367,0.8256080031153439,0.21000533902676213,0.848064602820935,0.23923600157371497,25,3139,C_all_fixes,Z-scored + derived + missingness indicators,28
C_all_fixes_RandomForest,0.7213043730058039,0.1226105415834222,0.753292933976943,0.11217691168177288,0.7921795169497237,0.1266450763828266,25,3139,C_all_fixes,Z-scored + derived + missingness indicators,28
B_zscore_SVM,0.7314885722210854,0.11345455970730972,0.7521508058774538,0.10955849089649532,0.7921657021571927,0.12908037801234742,25,3139,B_zscore,Per-person z-scored (all features),21
B_zscore_RandomForest,0.7194734228738793,0.11537914531909588,0.752330399284098,0.10257000524096689,0.789581141978308,0.12557608988421418,25,3139,B_zscore,Per-person z-scored (all features),21
B_zscore_MLP,0.7274960865011642,0.12131527201665078,0.7508000971040235,0.11704726490220492,0.7875265252073176,0.12705850983807948,25,3139,B_zscore,Per-person z-scored (all features),21
C_all_fixes_MLP,0.7103612320594993,0.1261858674164379,0.7349985149284864,0.12193957259482036,0.785279193017392,0.1357586520236892,25,3139,C_all_fixes,Z-scored + derived + missingness indicators,28
C_all_fixes_SVM,0.7155632139889703,0.11385645251260956,0.7346897092497691,0.11199588081550511,0.7831346182332745,0.13143229547140756,25,3139,C_all_fixes,Z-scored + derived + missingness indicators,28
C_all_fixes_GradientBoosting,0.7143196860993684,0.12496833480073467,0.7348907080062348,0.12556501529413322,0.7759645510407713,0.13308931991390624,25,3139,C_all_fixes,Z-scored + derived + missingness indicators,28
C_all_fixes_LogisticRegression,0.7029797794378772,0.12651474125564932,0.7177859094687012,0.12789609113413047,0.7634746502125715,0.1387810296930567,25,3139,C_all_fixes,Z-scored + derived + missingness indicators,28
B_zscore_LogisticRegression,0.7009516077743612,0.11140605619000221,0.7151219260497161,0.11013856995521949,0.7602709450667342,0.12514793420425524,25,3139,B_zscore,Per-person z-scored (all features),21
A_baseline_Transformer,0.6823207428772823,0.1493664476408909,0.6922580018258135,0.1747521855994721,0.7582317884958707,0.18128613244494718,25,3139,A_baseline,"Raw features, global impute+scale (no z-scoring)",21
B_zscore_GradientBoosting,0.6826185355355895,0.13409463687401743,0.7047542694854743,0.13225194695009154,0.7461925858081123,0.14794794553139518,25,3139,B_zscore,Per-person z-scored (all features),21
E_computer_only_SVM,0.6772497012382449,0.07697063501008816,0.7175230463528092,0.07416662796453696,0.7318440996428233,0.09025762186289292,25,3139,E_computer_only,Computer-only (per-person z-scored),22
E_computer_only_LogisticRegression,0.661930350506223,0.1002747390521845,0.6883442831918205,0.09619196210332748,0.7290121337133638,0.1021293756891092,25,3139,E_computer_only,Computer-only (per-person z-scored),22
E_computer_only_RandomForest,0.6646024058562422,0.07386520179392078,0.7180215953218009,0.07140193877488248,0.7290081329610086,0.08627414710659824,25,3139,E_computer_only,Computer-only (per-person z-scored),22
E_computer_only_MLP,0.6747321219109371,0.08076368678204951,0.7186156955572152,0.07831356030190487,0.727443471040853,0.09278892436774547,25,3139,E_computer_only,Computer-only (per-person z-scored),22
D_physio_only_Transformer,0.6808767887115204,0.2523562976927647,0.6807393743625535,0.2637130524498628,0.7214574142807622,0.2880665250921553,25,3139,D_physio_only,Physiology-only (per-person z-scored),6
A_baseline_LogisticRegression,0.6526576503417296,0.0827591941291642,0.6620994264257977,0.1363752188007669,0.7148941633509822,0.09480777540836928,25,3139,A_baseline,"Raw features, global impute+scale (no z-scoring)",21
A_baseline_RandomForest,0.6456713943150868,0.0957762483658146,0.6772438264253536,0.12421529000423906,0.7096794822537552,0.11604947691048217,25,3139,A_baseline,"Raw features, global impute+scale (no z-scoring)",21
A_baseline_MLP,0.6410760878113738,0.0749419893068271,0.6645560953970852,0.1081936759714868,0.7093716921691393,0.08360670467937038,25,3139,A_baseline,"Raw features, global impute+scale (no z-scoring)",21
A_baseline_SVM,0.646859799244022,0.05728415591191404,0.6795998487325732,0.08266858329075283,0.7035864779243441,0.07931611141002427,25,3139,A_baseline,"Raw features, global impute+scale (no z-scoring)",21
E_computer_only_GradientBoosting,0.6338953970759005,0.06798482307613156,0.6722104337500164,0.08310383853280483,0.6989054804186927,0.07933799670405824,25,3139,E_computer_only,Computer-only (per-person z-scored),22
A_baseline_GradientBoosting,0.6048633117368931,0.1099860244196313,0.6066386177968515,0.15980406864344904,0.6704760602914588,0.145293443665339,25,3139,A_baseline,"Raw features, global impute+scale (no z-scoring)",21
D_physio_only_SVM,0.6064742617061468,0.15630188086721905,0.6247331670316911,0.16423865024041176,0.6326610446836977,0.18249768525064677,25,3139,D_physio_only,Physiology-only (per-person z-scored),6
D_physio_only_MLP,0.603732564752181,0.16243054042268149,0.6461841592911878,0.15809794341581587,0.621822096844256,0.19380830682996972,25,3139,D_physio_only,Physiology-only (per-person z-scored),6
D_physio_only_LogisticRegression,0.5550771612386783,0.15802636583447707,0.5325058945196188,0.18500774434215422,0.5964098378030325,0.1902371136967197,25,3139,D_physio_only,Physiology-only (per-person z-scored),6
