participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.6821705426356589,0.7248322147651006,0.7727053140096618,129,69
2,0.5041322314049587,0.0625,0.6782394751230181,121,59
3,0.30708661417322836,0.2413793103448276,0.3318295739348371,127,70
4,0.6796875,0.7354838709677419,0.6900024563989192,128,69
5,0.536,0.23684210526315788,0.6610910962429233,125,67
6,0.6984126984126984,0.7285714285714285,0.7363636363636363,126,66
7,0.6461538461538462,0.7051282051282052,0.7063095238095238,130,70
8,0.5,0.5084745762711864,0.5625929229854297,116,59
9,0.6967213114754098,0.7810650887573964,0.827922077922078,122,66
10,0.5234375,0.49586776859504134,0.5812331783704429,128,67
11,0.6929133858267716,0.7450980392156863,0.6889332003988036,127,68
12,0.5426356589147286,0.4485981308411215,0.5864734299516907,129,69
13,0.6190476190476191,0.6962025316455697,0.6262626262626263,126,66
14,0.8217054263565892,0.8391608391608392,0.9014492753623188,129,69
15,0.6363636363636364,0.7283950617283951,0.6971022416621104,121,62
16,0.6124031007751938,0.5614035087719298,0.7055555555555555,129,69
17,0.6124031007751938,0.576271186440678,0.7388888888888889,129,69
18,0.6554621848739496,0.6771653543307087,0.7811594202898551,119,69
19,0.6692307692307692,0.7189542483660131,0.7215490615348065,130,69
20,0.7054263565891473,0.7323943661971831,0.7683574879227053,129,69
21,0.6037735849056604,0.6818181818181818,0.7811594202898551,106,46
22,0.5634920634920635,0.6496815286624203,0.5277004806476093,126,67
23,0.751937984496124,0.8,0.8857487922705315,129,69
24,0.8153846153846154,0.8235294117647058,0.9044903777619387,130,69
25,0.6015625,0.6106870229007634,0.6830882352941177,128,68
