participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.6434108527131783,0.6714285714285714,0.7004830917874396,129,69
2,0.6528925619834711,0.625,0.7285401858939311,121,59
3,0.6299212598425197,0.6299212598425197,0.7290726817042607,127,70
4,0.84375,0.8333333333333334,0.983542127241464,128,69
5,0.72,0.7651006711409396,0.7866700977869274,125,67
6,0.753968253968254,0.7769784172661871,0.7770202020202019,126,66
7,0.5923076923076923,0.5826771653543307,0.6452380952380953,130,70
8,0.6206896551724138,0.6507936507936508,0.6378233719892953,116,59
9,0.5983606557377049,0.7231638418079096,0.7729978354978354,122,66
10,0.5,0.41818181818181815,0.5664301443601664,128,67
11,0.5826771653543307,0.576,0.7011465603190429,127,68
12,0.7131782945736435,0.7612903225806451,0.8198067632850242,129,69
13,0.6666666666666666,0.7162162162162162,0.7626262626262627,126,66
14,0.6666666666666666,0.7425149700598802,0.6881642512077295,129,69
15,0.6942148760330579,0.7701863354037267,0.6662110442864954,121,62
16,0.5116279069767442,0.2222222222222222,0.6231884057971016,129,69
17,0.6356589147286822,0.6845637583892618,0.6886473429951692,129,69
18,0.7058823529411765,0.7586206896551724,0.7049275362318841,119,69
19,0.5538461538461539,0.5245901639344263,0.6296032311712997,130,69
20,0.6356589147286822,0.6466165413533834,0.7669082125603864,129,69
21,0.6415094339622641,0.6779661016949152,0.7119565217391304,106,46
22,0.6825396825396826,0.6666666666666666,0.786997217303314,126,67
23,0.8372093023255814,0.8444444444444444,0.923671497584541,129,69
24,0.7153846153846154,0.7643312101910829,0.7761938702779758,130,69
25,0.5859375,0.5046728971962616,0.7142156862745097,128,68
