participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.689922480620155,0.7468354430379747,0.7521739130434782,129,69
2,0.6115702479338843,0.6115702479338843,0.7271733187534173,121,59
3,0.5039370078740157,0.496,0.599749373433584,127,70
4,0.796875,0.8142857142857143,0.8975681650700074,128,69
5,0.712,0.7534246575342466,0.7889861039629439,125,67
6,0.7142857142857143,0.7692307692307693,0.7803030303030303,126,66
7,0.7,0.7272727272727273,0.7390476190476192,130,70
8,0.6293103448275862,0.6766917293233082,0.7353553374962831,116,59
9,0.6885245901639344,0.7738095238095238,0.7667748917748918,122,66
10,0.6484375,0.6017699115044248,0.729875214093467,128,67
11,0.7322834645669292,0.7605633802816901,0.6951645064805584,127,68
12,0.5891472868217055,0.5470085470085471,0.6391304347826086,129,69
13,0.6666666666666666,0.7307692307692307,0.7777777777777779,126,66
14,0.6666666666666666,0.6717557251908397,0.7376811594202898,129,69
15,0.6776859504132231,0.7607361963190185,0.7646254784034991,121,62
16,0.6589147286821705,0.5925925925925926,0.7028985507246376,129,69
17,0.7131782945736435,0.7643312101910829,0.7683574879227053,129,69
18,0.7058823529411765,0.7741935483870968,0.6930434782608695,119,69
19,0.6,0.59375,0.6509859824186267,130,69
20,0.627906976744186,0.6521739130434783,0.6958937198067633,129,69
21,0.6226415094339622,0.6774193548387096,0.7677536231884058,106,46
22,0.5952380952380952,0.6277372262773723,0.6625347837085758,126,67
23,0.7596899224806202,0.7769784172661871,0.8367149758454107,129,69
24,0.6923076923076923,0.726027397260274,0.7353290567830839,130,69
25,0.6640625,0.6324786324786325,0.7247549019607843,128,68
