participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.6744186046511628,0.7123287671232876,0.7246376811594203,129,69
2,0.6363636363636364,0.47619047619047616,0.8171131765992345,121,59
3,0.36220472440944884,0.3305785123966942,0.4268170426065163,127,70
4,0.75,0.8,0.8295259150085974,128,69
5,0.616,0.4666666666666667,0.7622233659289758,125,67
6,0.7619047619047619,0.7945205479452054,0.7967171717171718,126,66
7,0.6153846153846154,0.6666666666666666,0.6315476190476189,130,70
8,0.646551724137931,0.7050359712230215,0.6116562592922986,116,59
9,0.7049180327868853,0.7804878048780488,0.8566017316017316,122,66
10,0.5390625,0.5426356589147286,0.5683875703449963,128,67
11,0.7480314960629921,0.7866666666666666,0.8337487537387835,127,68
12,0.751937984496124,0.7808219178082192,0.8009661835748793,129,69
13,0.7222222222222222,0.7904191616766467,0.7489898989898991,126,66
14,0.8914728682170543,0.8985507246376812,0.9514492753623189,129,69
15,0.6446280991735537,0.7393939393939394,0.61372334609076,121,62
16,0.6589147286821705,0.5925925925925926,0.7048309178743962,129,69
17,0.7286821705426356,0.7741935483870968,0.7528985507246376,129,69
18,0.7142857142857143,0.7733333333333333,0.811014492753623,119,69
19,0.6846153846153846,0.7210884353741497,0.7410311237823711,130,69
20,0.6589147286821705,0.7317073170731707,0.6908212560386473,129,69
21,0.6037735849056604,0.6865671641791045,0.7692028985507247,106,46
22,0.6587301587301587,0.7514450867052023,0.669365039210726,126,67
23,0.7131782945736435,0.783625730994152,0.8746376811594203,129,69
24,0.7692307692307693,0.8192771084337349,0.8959372772630079,130,69
25,0.71875,0.76,0.8107843137254902,128,68
