participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.6976744186046512,0.7547169811320755,0.78743961352657,129,69
2,0.6776859504132231,0.7022900763358778,0.7342810278840898,121,59
3,0.4881889763779528,0.4144144144144144,0.45263157894736844,127,70
4,0.796875,0.8169014084507042,0.9022353230164579,128,69
5,0.712,0.76,0.792717447246526,125,67
6,0.7222222222222222,0.7712418300653595,0.8164141414141415,126,66
7,0.7,0.7272727272727273,0.7540476190476191,130,70
8,0.6551724137931034,0.7014925373134329,0.6696402022004163,116,59
9,0.7049180327868853,0.7831325301204819,0.8219696969696969,122,66
10,0.6171875,0.6201550387596899,0.6758013212625398,128,67
11,0.7559055118110236,0.7862068965517242,0.7442671984047856,127,68
12,0.7054263565891473,0.75,0.7724637681159421,129,69
13,0.7063492063492064,0.7672955974842768,0.7626262626262627,126,66
14,0.6666666666666666,0.7225806451612903,0.7237922705314009,129,69
15,0.6446280991735537,0.7329192546583851,0.6801530891197376,121,62
16,0.6821705426356589,0.6019417475728155,0.6985507246376811,129,69
17,0.6976744186046512,0.7483870967741936,0.7369565217391305,129,69
18,0.7394957983193278,0.7919463087248322,0.7930434782608696,119,69
19,0.5692307692307692,0.5555555555555556,0.6462342599192207,130,69
20,0.627906976744186,0.6712328767123288,0.7020531400966185,129,69
21,0.6320754716981132,0.6929133858267716,0.6746376811594202,106,46
22,0.6746031746031746,0.7007299270072993,0.7348848975461676,126,67
23,0.7906976744186046,0.8057553956834532,0.8816425120772947,129,69
24,0.7538461538461538,0.7974683544303798,0.7997148966500356,130,69
25,0.7109375,0.6890756302521008,0.7936274509803922,128,68
