participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.7906976744186046,0.7906976744186046,0.8577294685990339,129,69
2,0.628099173553719,0.6511627906976745,0.7479496992892292,121,59
3,0.5039370078740157,0.5467625899280576,0.543859649122807,127,70
4,0.6640625,0.6717557251908397,0.765659543109801,128,69
5,0.784,0.8029197080291971,0.8667009778692742,125,67
6,0.7857142857142857,0.7969924812030075,0.8866161616161615,126,66
7,0.5615384615384615,0.5365853658536586,0.6504761904761905,130,70
8,0.5689655172413793,0.6323529411764706,0.584002378828427,116,59
9,0.7868852459016393,0.7868852459016393,0.8614718614718615,122,66
10,0.65625,0.6140350877192983,0.6914607291411794,128,67
11,0.7559055118110236,0.7947019867549668,0.8529411764705882,127,68
12,0.937984496124031,0.9411764705882353,0.9881642512077295,129,69
13,0.8174603174603174,0.8435374149659864,0.9446969696969696,126,66
14,0.8527131782945736,0.8741721854304636,0.9439613526570048,129,69
15,0.7768595041322314,0.8057553956834532,0.8786221979223618,121,62
16,0.7209302325581395,0.7,0.817391304347826,129,69
17,0.7209302325581395,0.7464788732394366,0.8577294685990338,129,69
18,0.7394957983193278,0.7832167832167832,0.835072463768116,119,69
19,0.676923076923077,0.6956521739130435,0.768591114278926,130,69
20,0.5968992248062015,0.6231884057971014,0.6108695652173913,129,69
21,0.6509433962264151,0.6542056074766355,0.7438405797101448,106,46
22,0.753968253968254,0.7350427350427351,0.8535289653427777,126,67
23,0.7209302325581395,0.76,0.8019323671497585,129,69
24,0.5692307692307692,0.5942028985507246,0.5885008315514374,130,69
25,0.65625,0.6857142857142857,0.696813725490196,128,68
