participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.7286821705426356,0.7368421052631579,0.8036231884057973,129,69
2,0.6115702479338843,0.5765765765765766,0.6224712957900491,121,59
3,0.5669291338582677,0.5925925925925926,0.6007518796992481,127,70
4,0.84375,0.8305084745762712,0.9845246868091379,128,69
5,0.72,0.7552447552447552,0.7611940298507462,125,67
6,0.8412698412698413,0.855072463768116,0.8815656565656566,126,66
7,0.5230769230769231,0.4918032786885246,0.5535714285714285,130,70
8,0.6379310344827587,0.6911764705882353,0.6883734760630389,116,59
9,0.7459016393442623,0.7479674796747967,0.8436147186147186,122,66
10,0.5859375,0.5137614678899083,0.5549302666992905,128,67
11,0.6535433070866141,0.6666666666666666,0.7437686939182453,127,68
12,0.8449612403100775,0.855072463768116,0.9260869565217392,129,69
13,0.7619047619047619,0.7945205479452054,0.8684343434343434,126,66
14,0.7286821705426356,0.7770700636942676,0.8234299516908213,129,69
15,0.7107438016528925,0.7770700636942676,0.8326954620010936,121,62
16,0.6511627906976745,0.5360824742268041,0.8371980676328502,129,69
17,0.8217054263565892,0.8345323741007195,0.8804347826086957,129,69
18,0.7647058823529411,0.8028169014084507,0.7643478260869565,119,69
19,0.6461538461538462,0.6567164179104478,0.6970776906628653,130,69
20,0.5891472868217055,0.6187050359712231,0.6234299516908213,129,69
21,0.5849056603773585,0.5769230769230769,0.678623188405797,106,46
22,0.7301587301587301,0.711864406779661,0.8214014672400709,126,67
23,0.8372093023255814,0.8396946564885496,0.9057971014492754,129,69
24,0.6384615384615384,0.7151515151515152,0.6407697790449038,130,69
25,0.6875,0.6875,0.7615196078431372,128,68
