participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.8372093023255814,0.8467153284671532,0.9033816425120772,129,69
2,0.628099173553719,0.64,0.6782394751230181,121,59
3,0.5669291338582677,0.6153846153846154,0.6473684210526316,127,70
4,0.796875,0.7833333333333333,0.9380987472365512,128,69
5,0.712,0.75,0.8288728769943386,125,67
6,0.7936507936507936,0.8115942028985508,0.8558080808080808,126,66
7,0.5769230769230769,0.5454545454545454,0.6966666666666667,130,70
8,0.6206896551724138,0.6857142857142857,0.6616116562592923,116,59
9,0.7868852459016393,0.8059701492537313,0.8566017316017316,122,66
10,0.671875,0.6037735849056604,0.7572791778810863,128,67
11,0.6456692913385826,0.6616541353383458,0.7976071784646063,127,68
12,0.9457364341085271,0.948905109489051,0.9845410628019324,129,69
13,0.8174603174603174,0.8435374149659864,0.9032828282828282,126,66
14,0.8449612403100775,0.8648648648648649,0.9393719806763285,129,69
15,0.8347107438016529,0.8591549295774648,0.9693821760524878,121,62
16,0.7829457364341085,0.7741935483870968,0.8514492753623188,129,69
17,0.7829457364341085,0.8,0.893719806763285,129,69
18,0.7563025210084033,0.8053691275167785,0.7985507246376812,119,69
19,0.7230769230769231,0.76,0.7581373247802329,130,69
20,0.5891472868217055,0.6490066225165563,0.6152173913043478,129,69
21,0.6320754716981132,0.6285714285714286,0.7014492753623188,106,46
22,0.7301587301587301,0.7213114754098361,0.8340500885403491,126,67
23,0.7751937984496124,0.7943262411347518,0.8516908212560387,129,69
24,0.6461538461538462,0.7160493827160493,0.6091708244238537,130,69
25,0.671875,0.6865671641791045,0.7840686274509804,128,68
