participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.8604651162790697,0.8676470588235294,0.9084541062801932,129,69
2,0.6198347107438017,0.6515151515151515,0.6722252597047566,121,59
3,0.6141732283464567,0.6524822695035462,0.668922305764411,127,70
4,0.7890625,0.7768595041322314,0.8820928518791451,128,69
5,0.768,0.8027210884353742,0.8260422027792074,125,67
6,0.7777777777777778,0.8028169014084507,0.884090909090909,126,66
7,0.5615384615384615,0.5128205128205128,0.6673809523809524,130,70
8,0.5862068965517241,0.6417910447761194,0.5691347011596788,116,59
9,0.7622950819672131,0.7851851851851852,0.8484848484848485,122,66
10,0.65625,0.6071428571428571,0.6791044776119403,128,67
11,0.8031496062992126,0.8344370860927153,0.7926221335992024,127,68
12,0.8992248062015504,0.9064748201438849,0.9777777777777777,129,69
13,0.8095238095238095,0.8333333333333334,0.8752525252525253,126,66
14,0.8294573643410853,0.8533333333333334,0.902415458937198,129,69
15,0.8181818181818182,0.8382352941176471,0.9496992892290869,121,62
16,0.7674418604651163,0.75,0.8741545893719807,129,69
17,0.8217054263565892,0.8345323741007195,0.9070048309178743,129,69
18,0.7563025210084033,0.7943262411347518,0.8426086956521739,119,69
19,0.7076923076923077,0.75,0.796151104775481,130,69
20,0.5736434108527132,0.6308724832214765,0.6092995169082125,129,69
21,0.6509433962264151,0.6542056074766355,0.6623188405797101,106,46
22,0.8095238095238095,0.8125,0.8570705793068555,126,67
23,0.7829457364341085,0.8,0.8613526570048309,129,69
24,0.6538461538461539,0.7239263803680982,0.626039439296745,130,69
25,0.6796875,0.7007299270072993,0.7691176470588236,128,68
