participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.7209302325581395,0.7662337662337663,0.8326086956521739,129,69
2,0.6363636363636364,0.6206896551724138,0.731273920174959,121,59
3,0.44881889763779526,0.5205479452054794,0.525563909774436,127,70
4,0.65625,0.639344262295082,0.7924342913289119,128,69
5,0.672,0.6306306306306306,0.80905815748842,125,67
6,0.7698412698412699,0.7751937984496124,0.8464646464646465,126,66
7,0.5769230769230769,0.5669291338582677,0.6578571428571428,130,70
8,0.6120689655172413,0.6808510638297872,0.64049955396967,116,59
9,0.6967213114754098,0.7701863354037267,0.8506493506493507,122,66
10,0.6875,0.6078431372549019,0.749938830437974,128,67
11,0.7952755905511811,0.8289473684210527,0.7739282153539382,127,68
12,0.937984496124031,0.9402985074626866,0.9884057971014493,129,69
13,0.8015873015873016,0.8299319727891157,0.943939393939394,126,66
14,0.8837209302325582,0.9019607843137255,0.9586956521739131,129,69
15,0.6776859504132231,0.7310344827586207,0.8250410060142155,121,62
16,0.8372093023255814,0.8372093023255814,0.9038647342995169,129,69
17,0.7596899224806202,0.7801418439716312,0.8434782608695652,129,69
18,0.7394957983193278,0.8,0.8168115942028985,119,69
19,0.7692307692307693,0.7972972972972973,0.8389166072701354,130,69
20,0.5891472868217055,0.6394557823129252,0.6292270531400965,129,69
21,0.6792452830188679,0.6222222222222222,0.7793478260869565,106,46
22,0.753968253968254,0.7596899224806202,0.8158360738679484,126,67
23,0.7674418604651163,0.7972972972972973,0.8608695652173913,129,69
24,0.46153846153846156,0.46153846153846156,0.49988120693751487,130,69
25,0.5859375,0.6344827586206897,0.5647058823529412,128,68
