participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.7751937984496124,0.7851851851851852,0.8272946859903382,129,69
2,0.5867768595041323,0.5535714285714286,0.6115363586659377,121,59
3,0.5748031496062992,0.5970149253731343,0.6047619047619047,127,70
4,0.84375,0.8333333333333334,0.9815770081061164,128,69
5,0.68,0.7101449275362319,0.7272259392691713,125,67
6,0.8333333333333334,0.8467153284671532,0.8833333333333333,126,66
7,0.5538461538461539,0.532258064516129,0.5892857142857143,130,70
8,0.5862068965517241,0.6363636363636364,0.6746952126077908,116,59
9,0.7377049180327869,0.7837837837837838,0.8181818181818181,122,66
10,0.609375,0.5454545454545454,0.5940787863958893,128,67
11,0.8267716535433071,0.8552631578947368,0.9125124626121636,127,68
12,0.8837209302325582,0.8936170212765957,0.9415458937198068,129,69
13,0.7619047619047619,0.7887323943661971,0.8656565656565657,126,66
14,0.7441860465116279,0.7870967741935484,0.8357487922705313,129,69
15,0.7107438016528925,0.7712418300653595,0.8548387096774195,121,62
16,0.7286821705426356,0.6666666666666666,0.8499999999999999,129,69
17,0.8372093023255814,0.851063829787234,0.8910628019323671,129,69
18,0.7563025210084033,0.8027210884353742,0.7628985507246376,119,69
19,0.6846153846153846,0.6917293233082706,0.7051556189118555,130,69
20,0.5968992248062015,0.6285714285714286,0.626328502415459,129,69
21,0.5754716981132075,0.5794392523364486,0.6851449275362318,106,46
22,0.746031746031746,0.7288135593220338,0.8165949911459652,126,67
23,0.813953488372093,0.8181818181818182,0.8644927536231883,129,69
24,0.6230769230769231,0.703030303030303,0.6277025421715372,130,69
25,0.6875,0.6923076923076923,0.774264705882353,128,68
