participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.8449612403100775,0.8461538461538461,0.917391304347826,129,69
2,0.6198347107438017,0.6349206349206349,0.6861673045379989,121,59
3,0.5590551181102362,0.6,0.6606516290726817,127,70
4,0.7734375,0.7563025210084033,0.8754605747973471,128,69
5,0.704,0.7448275862068966,0.7771487390633042,125,67
6,0.7857142857142857,0.8057553956834532,0.851010101010101,126,66
7,0.5846153846153846,0.5645161290322581,0.700952380952381,130,70
8,0.6206896551724138,0.6857142857142857,0.6675587273267916,116,59
9,0.6639344262295082,0.7484662576687117,0.640422077922078,122,66
10,0.703125,0.6545454545454545,0.7678003425495473,128,67
11,0.6614173228346457,0.6666666666666666,0.8018444666001994,127,68
12,0.937984496124031,0.9420289855072463,0.9835748792270531,129,69
13,0.7936507936507936,0.8243243243243243,0.897979797979798,126,66
14,0.8449612403100775,0.8701298701298701,0.9555555555555556,129,69
15,0.768595041322314,0.8082191780821918,0.9240021869874249,121,62
16,0.7209302325581395,0.6842105263157895,0.8398550724637681,129,69
17,0.8217054263565892,0.8435374149659864,0.9193236714975845,129,69
18,0.7647058823529411,0.8157894736842105,0.8368115942028985,119,69
19,0.6846153846153846,0.7284768211920529,0.7405559515324305,130,69
20,0.5581395348837209,0.6174496644295302,0.5871980676328502,129,69
21,0.5660377358490566,0.5964912280701754,0.7148550724637681,106,46
22,0.8015873015873016,0.8091603053435115,0.8628889451049835,126,67
23,0.751937984496124,0.7894736842105263,0.8519323671497584,129,69
24,0.6076923076923076,0.6909090909090909,0.5818484200522688,130,69
25,0.6875,0.7142857142857143,0.7622549019607844,128,68
