participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.7441860465116279,0.736,0.8521739130434782,129,69
2,0.7024793388429752,0.6896551724137931,0.7747402952433023,121,59
3,0.5275590551181102,0.5945945945945946,0.6037593984962406,127,70
4,0.671875,0.704225352112676,0.7676246622451486,128,69
5,0.736,0.7317073170731707,0.8561502830674215,125,67
6,0.7777777777777778,0.7741935483870968,0.9131313131313131,126,66
7,0.5461538461538461,0.5354330708661418,0.6240476190476191,130,70
8,0.6120689655172413,0.6808510638297872,0.5730002973535534,116,59
9,0.7049180327868853,0.7567567567567568,0.8076298701298701,122,66
10,0.6640625,0.6504065040650406,0.7492047956936628,128,67
11,0.7480314960629921,0.8,0.7377866400797607,127,68
12,0.9612403100775194,0.9645390070921985,0.9956521739130435,129,69
13,0.8492063492063492,0.8689655172413793,0.9098484848484848,126,66
14,0.8837209302325582,0.8979591836734694,0.9714975845410628,129,69
15,0.859504132231405,0.8776978417266187,0.9546200109349372,121,62
16,0.7286821705426356,0.7154471544715447,0.8479468599033818,129,69
17,0.7984496124031008,0.8194444444444444,0.9031400966183575,129,69
18,0.7815126050420168,0.8169014084507042,0.8530434782608697,119,69
19,0.6615384615384615,0.6764705882352942,0.747208363031599,130,69
20,0.5658914728682171,0.6164383561643836,0.6053140096618357,129,69
21,0.6415094339622641,0.6779661016949152,0.7485507246376811,106,46
22,0.753968253968254,0.7801418439716312,0.8436630407285606,126,67
23,0.751937984496124,0.8024691358024691,0.8669082125603865,129,69
24,0.6,0.675,0.6550249465431218,130,69
25,0.6953125,0.7346938775510204,0.7002450980392156,128,68
