participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.8294573643410853,0.8333333333333334,0.9053140096618357,129,69
2,0.6446280991735537,0.6614173228346457,0.6670311645708037,121,59
3,0.5984251968503937,0.6433566433566433,0.6735588972431078,127,70
4,0.765625,0.75,0.8881110292311472,128,69
5,0.696,0.7323943661971831,0.7671127123005662,125,67
6,0.7857142857142857,0.8085106382978723,0.8823232323232324,126,66
7,0.5307692307692308,0.46956521739130436,0.6497619047619048,130,70
8,0.5948275862068966,0.656934306569343,0.607790663098424,116,59
9,0.6475409836065574,0.7295597484276729,0.704004329004329,122,66
10,0.6796875,0.6371681415929203,0.6990457548323954,128,67
11,0.8110236220472441,0.84,0.8402293120638086,127,68
12,0.9069767441860465,0.9154929577464789,0.9746376811594203,129,69
13,0.8253968253968254,0.8428571428571429,0.8755050505050505,126,66
14,0.8294573643410853,0.8533333333333334,0.9101449275362319,129,69
15,0.8181818181818182,0.8405797101449275,0.94313832695462,121,62
16,0.7674418604651163,0.7457627118644068,0.9106280193236715,129,69
17,0.8062015503875969,0.8226950354609929,0.9074879227053139,129,69
18,0.7394957983193278,0.7862068965517242,0.844782608695652,119,69
19,0.6923076923076923,0.7297297297297297,0.7714421477785698,130,69
20,0.5658914728682171,0.6056338028169014,0.6072463768115942,129,69
21,0.6415094339622641,0.6545454545454545,0.6590579710144927,106,46
22,0.7777777777777778,0.78125,0.8542878826207942,126,67
23,0.751937984496124,0.7714285714285715,0.8582125603864734,129,69
24,0.6230769230769231,0.6993865030674846,0.5753148016155856,130,69
25,0.6796875,0.7050359712230215,0.7450980392156863,128,68
