participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.6434108527131783,0.6166666666666667,0.7053140096618358,129,69
2,0.38016528925619836,0.4755244755244755,0.46446145434663755,121,59
3,0.3937007874015748,0.42962962962962964,0.3694235588972431,127,70
4,0.5703125,0.6857142857142857,0.5054040776222058,128,69
5,0.64,0.6564885496183206,0.7020072053525477,125,67
6,0.5555555555555556,0.5,0.6183080808080808,126,66
7,0.4,0.3275862068965517,0.4748809523809524,130,70
8,0.29310344827586204,0.32786885245901637,0.3064228367528992,116,59
9,0.5491803278688525,0.5528455284552846,0.604978354978355,122,66
10,0.515625,0.5,0.5395155370687545,128,67
11,0.7165354330708661,0.775,0.6750997008973081,127,68
12,0.751937984496124,0.7575757575757576,0.840096618357488,129,69
13,0.6587301587301587,0.6993006993006993,0.7339646464646465,126,66
14,0.7984496124031008,0.8142857142857143,0.8359903381642513,129,69
15,0.5619834710743802,0.6293706293706294,0.5513942044833242,121,62
16,0.6356589147286822,0.5982905982905983,0.6961352657004831,129,69
17,0.6124031007751938,0.6753246753246753,0.6640096618357489,129,69
18,0.5882352941176471,0.5811965811965812,0.616231884057971,119,69
19,0.5076923076923077,0.5675675675675675,0.4509384651936326,130,69
20,0.5348837209302325,0.6103896103896104,0.5349033816425122,129,69
21,0.6698113207547169,0.5882352941176471,0.6277173913043479,106,46
22,0.7301587301587301,0.7424242424242424,0.7475335188464457,126,67
23,0.3178294573643411,0.45,0.2655797101449276,129,69
24,0.45384615384615384,0.4409448818897638,0.39368020907578993,130,69
25,0.6015625,0.6577181208053692,0.5208333333333334,128,68
