participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.6201550387596899,0.6201550387596899,0.6698067632850242,129,69
2,0.4132231404958678,0.36036036036036034,0.30289775833788957,121,59
3,0.3464566929133858,0.3464566929133858,0.3192982456140351,127,70
4,0.6015625,0.6382978723404256,0.5192827315155981,128,69
5,0.48,0.5323741007194245,0.43051981471950596,125,67
6,0.8015873015873016,0.8175182481751825,0.8343434343434344,126,66
7,0.4461538461538462,0.3684210526315789,0.3721428571428571,130,70
8,0.4051724137931034,0.25806451612903225,0.22479928635147195,116,59
9,0.5409836065573771,0.5692307692307692,0.5351731601731602,122,66
10,0.5625,0.5409836065573771,0.4281869341815513,128,67
11,0.41732283464566927,0.1956521739130435,0.6623878364905285,127,68
12,0.6976744186046512,0.7111111111111111,0.6830917874396135,129,69
13,0.7698412698412699,0.7883211678832117,0.7914141414141415,126,66
14,0.7131782945736435,0.725925925925926,0.729951690821256,129,69
15,0.7355371900826446,0.7333333333333333,0.7121377802077639,121,62
16,0.8294573643410853,0.8428571428571429,0.9016908212560387,129,69
17,0.7441860465116279,0.7518796992481203,0.8079710144927537,129,69
18,0.5546218487394958,0.576,0.5585507246376812,119,69
19,0.5846153846153846,0.6086956521739131,0.5855310049893087,130,69
20,0.2558139534883721,0.1111111111111111,0.2689613526570048,129,69
21,0.46226415094339623,0.45714285714285713,0.4394927536231884,106,46
22,0.7142857142857143,0.7428571428571429,0.6043511257272958,126,67
23,0.5271317829457365,0.39603960396039606,0.3879227053140096,129,69
24,0.2923076923076923,0.3698630136986301,0.17153718222855785,130,69
25,0.6640625,0.6993006993006993,0.5355392156862745,128,68
