participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.6744186046511628,0.7123287671232876,0.7905797101449274,129,69
2,0.371900826446281,0.5064935064935064,0.5705303444505194,121,59
3,0.3700787401574803,0.4936708860759494,0.4324561403508772,127,70
4,0.546875,0.618421052631579,0.5003684598378777,128,69
5,0.632,0.6666666666666666,0.7133299022130725,125,67
6,0.7619047619047619,0.7945205479452054,0.846969696969697,126,66
7,0.5,0.5390070921985816,0.5042857142857143,130,70
8,0.28448275862068967,0.3851851851851852,0.29170383586083853,116,59
9,0.5819672131147541,0.6106870229007634,0.6393398268398269,122,66
10,0.6796875,0.7050359712230215,0.7330560313188157,128,67
11,0.6929133858267716,0.7636363636363637,0.6795862412761715,127,68
12,0.7751937984496124,0.7913669064748201,0.8543478260869565,129,69
13,0.7777777777777778,0.8157894736842105,0.7744949494949495,126,66
14,0.7829457364341085,0.8108108108108109,0.8,129,69
15,0.8512396694214877,0.8636363636363636,0.8767085839256425,121,62
16,0.7131782945736435,0.7218045112781954,0.7814009661835749,129,69
17,0.7441860465116279,0.7814569536423841,0.8256038647342995,129,69
18,0.6554621848739496,0.7172413793103448,0.6965217391304348,119,69
19,0.3384615384615385,0.328125,0.32679971489665005,130,69
20,0.5813953488372093,0.6707317073170732,0.5170289855072463,129,69
21,0.5377358490566038,0.4842105263157895,0.5789855072463769,106,46
22,0.7380952380952381,0.7755102040816326,0.7751075132810524,126,67
23,0.4573643410852713,0.6067415730337079,0.3929951690821256,129,69
24,0.46153846153846156,0.5783132530120482,0.541696364932288,130,69
25,0.6484375,0.697986577181208,0.6862745098039216,128,68
