participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.6976744186046512,0.688,0.7628019323671498,129,69
2,0.4214876033057851,0.47761194029850745,0.48687807545106615,121,59
3,0.3858267716535433,0.44285714285714284,0.39598997493734334,127,70
4,0.59375,0.6790123456790124,0.441292065831491,128,69
5,0.624,0.6466165413533834,0.7200205867215647,125,67
6,0.7222222222222222,0.72,0.7948232323232323,126,66
7,0.49230769230769234,0.5,0.4530952380952381,130,70
8,0.3103448275862069,0.375,0.25334522747546834,116,59
9,0.5983606557377049,0.5950413223140496,0.6558441558441559,122,66
10,0.4765625,0.3619047619047619,0.5529728407144605,128,67
11,0.7165354330708661,0.7777777777777778,0.6272432701894317,127,68
12,0.689922480620155,0.7058823529411765,0.8236714975845412,129,69
13,0.5634920634920635,0.5217391304347826,0.6325757575757576,126,66
14,0.7829457364341085,0.8108108108108109,0.8276570048309179,129,69
15,0.71900826446281,0.734375,0.7927829414980864,121,62
16,0.6666666666666666,0.656,0.7068840579710145,129,69
17,0.6666666666666666,0.7152317880794702,0.7294685990338163,129,69
18,0.6218487394957983,0.6341463414634146,0.6605797101449276,119,69
19,0.3923076923076923,0.3875968992248062,0.3907103825136612,130,69
20,0.5813953488372093,0.6625,0.5672705314009662,129,69
21,0.6037735849056604,0.5531914893617021,0.594927536231884,106,46
22,0.6825396825396826,0.7101449275362319,0.6731596256008094,126,67
23,0.3333333333333333,0.47560975609756095,0.33840579710144925,129,69
24,0.4307692307692308,0.3728813559322034,0.32264195770966975,130,69
25,0.6171875,0.6524822695035462,0.5463235294117648,128,68
