participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.7131782945736435,0.7175572519083969,0.8091787439613526,129,69
2,0.6694214876033058,0.6610169491525424,0.6314926189174412,121,59
3,0.47244094488188976,0.5620915032679739,0.4669172932330827,127,70
4,0.546875,0.6027397260273972,0.5363547040039303,128,69
5,0.632,0.6515151515151515,0.715645908389089,125,67
6,0.753968253968254,0.7703703703703704,0.813131313131313,126,66
7,0.5153846153846153,0.5333333333333333,0.5049999999999999,130,70
8,0.27586206896551724,0.391304347826087,0.24293785310734464,116,59
9,0.6639344262295082,0.6666666666666666,0.6739718614718615,122,66
10,0.515625,0.42592592592592593,0.5515047712258381,128,67
11,0.6929133858267716,0.7664670658682635,0.7225822532402792,127,68
12,0.7829457364341085,0.8055555555555556,0.8410628019323672,129,69
13,0.746031746031746,0.7866666666666666,0.7143939393939394,126,66
14,0.7751937984496124,0.8,0.8077294685990338,129,69
15,0.8016528925619835,0.8064516129032258,0.8635866593767085,121,62
16,0.6821705426356589,0.6917293233082706,0.7210144927536232,129,69
17,0.7596899224806202,0.7737226277372263,0.8304347826086955,129,69
18,0.6302521008403361,0.6451612903225806,0.7249275362318841,119,69
19,0.3769230769230769,0.37209302325581395,0.3265621287716797,130,69
20,0.5891472868217055,0.6708074534161491,0.5196859903381643,129,69
21,0.5660377358490566,0.5106382978723404,0.6278985507246376,106,46
22,0.6746031746031746,0.7172413793103448,0.7832026309132305,126,67
23,0.4418604651162791,0.5862068965517241,0.3893719806763285,129,69
24,0.46923076923076923,0.5714285714285714,0.5371822285578522,130,69
25,0.578125,0.6029411764705882,0.6291666666666667,128,68
