participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.5968992248062015,0.6338028169014085,0.677536231884058,129,69
2,0.6942148760330579,0.7338129496402878,0.7848551120831055,121,59
3,0.5905511811023622,0.6388888888888888,0.6598997493734335,127,70
4,0.6328125,0.6050420168067226,0.7504298698108572,128,69
5,0.704,0.7448275862068966,0.8085434894493051,125,67
6,0.7142857142857143,0.7534246575342466,0.7694444444444444,126,66
7,0.6692307692307692,0.7034482758620689,0.715952380952381,130,70
8,0.7327586206896551,0.7769784172661871,0.767469521260779,116,59
9,0.6475409836065574,0.6906474820143885,0.7597402597402598,122,66
10,0.65625,0.6615384615384615,0.7039393197944703,128,67
11,0.7165354330708661,0.7721518987341772,0.8023429710867398,127,68
12,0.6976744186046512,0.7483870967741936,0.8079710144927535,129,69
13,0.6031746031746031,0.647887323943662,0.669949494949495,126,66
14,0.6511627906976745,0.7239263803680982,0.6814009661835749,129,69
15,0.628099173553719,0.7019867549668874,0.6935483870967741,121,62
16,0.5658914728682171,0.582089552238806,0.6782608695652175,129,69
17,0.6434108527131783,0.6891891891891891,0.6987922705314009,129,69
18,0.773109243697479,0.8163265306122449,0.8037681159420289,119,69
19,0.6538461538461539,0.6762589928057554,0.6709432169161321,130,69
20,0.6589147286821705,0.6764705882352942,0.7205314009661836,129,69
21,0.5943396226415094,0.6504065040650406,0.7623188405797101,106,46
22,0.6904761904761905,0.7272727272727273,0.7849734378952694,126,67
23,0.8217054263565892,0.8435374149659864,0.9089371980676328,129,69
24,0.7153846153846154,0.7643312101910829,0.7650273224043715,130,69
25,0.59375,0.6060606060606061,0.665686274509804,128,68
