participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.6589147286821705,0.6857142857142857,0.6910628019323671,129,69
2,0.6363636363636364,0.6071428571428571,0.7217058501913614,121,59
3,0.6220472440944882,0.6619718309859155,0.6904761904761905,127,70
4,0.796875,0.7678571428571429,0.9783836895111766,128,69
5,0.712,0.7567567567567568,0.7900154400411734,125,67
6,0.7380952380952381,0.7591240875912408,0.7608585858585859,126,66
7,0.5692307692307692,0.5555555555555556,0.646904761904762,130,70
8,0.7068965517241379,0.7536231884057971,0.75973832887303,116,59
9,0.7049180327868853,0.7142857142857143,0.773538961038961,122,66
10,0.515625,0.44642857142857145,0.6075360900415954,128,67
11,0.5275590551181102,0.5588235294117647,0.6383349950149552,127,68
12,0.689922480620155,0.7368421052631579,0.7809178743961352,129,69
13,0.6507936507936508,0.7027027027027027,0.7310606060606061,126,66
14,0.6821705426356589,0.757396449704142,0.6871980676328503,129,69
15,0.7024793388429752,0.775,0.6828868234007655,121,62
16,0.5116279069767442,0.2222222222222222,0.5958937198067633,129,69
17,0.6201550387596899,0.6666666666666666,0.658695652173913,129,69
18,0.6890756302521008,0.7375886524822695,0.7072463768115942,119,69
19,0.5846153846153846,0.5970149253731343,0.6236635780470421,130,69
20,0.6511627906976745,0.6616541353383458,0.7693236714975845,129,69
21,0.6320754716981132,0.6355140186915887,0.7137681159420289,106,46
22,0.6984126984126984,0.6833333333333333,0.8229193017961043,126,67
23,0.8837209302325582,0.8872180451127819,0.9304347826086957,129,69
24,0.7076923076923077,0.7654320987654321,0.7735804229033025,130,69
25,0.671875,0.671875,0.7242647058823529,128,68
