participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.6511627906976745,0.7096774193548387,0.6942028985507246,129,69
2,0.6694214876033058,0.7058823529411765,0.764898851831602,121,59
3,0.6220472440944882,0.6842105263157895,0.7280701754385965,127,70
4,0.828125,0.819672131147541,0.9408007860476542,128,69
5,0.76,0.810126582278481,0.8067421513124036,125,67
6,0.7698412698412699,0.8,0.8002525252525252,126,66
7,0.6692307692307692,0.7152317880794702,0.7557142857142858,130,70
8,0.6810344827586207,0.7375886524822695,0.7300029735355338,116,59
9,0.6639344262295082,0.7092198581560284,0.7383658008658008,122,66
10,0.6640625,0.7152317880794702,0.7078541717641302,128,67
11,0.5039370078740157,0.5594405594405595,0.6106679960119641,127,68
12,0.7209302325581395,0.775,0.8036231884057972,129,69
13,0.626984126984127,0.6928104575163399,0.6734848484848485,126,66
14,0.6666666666666666,0.7485380116959064,0.7103864734299516,129,69
15,0.6776859504132231,0.7547169811320755,0.6834335702569709,121,62
16,0.5271317829457365,0.39603960396039606,0.5644927536231885,129,69
17,0.6201550387596899,0.6993865030674846,0.6763285024154589,129,69
18,0.7226890756302521,0.7843137254901961,0.744927536231884,119,69
19,0.7153846153846154,0.7701863354037267,0.7065811356616774,130,69
20,0.6511627906976745,0.7204968944099379,0.7316425120772947,129,69
21,0.6037735849056604,0.6557377049180327,0.6847826086956521,106,46
22,0.7142857142857143,0.7567567567567568,0.7768783202630913,126,67
23,0.8449612403100775,0.8666666666666667,0.9347826086956522,129,69
24,0.7076923076923077,0.7682926829268293,0.8056545497742932,130,69
25,0.671875,0.6956521739130435,0.759313725490196,128,68
