participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.6046511627906976,0.6382978723404256,0.6777777777777778,129,69
2,0.6942148760330579,0.725925925925926,0.7736468015308912,121,59
3,0.6535433070866141,0.7105263157894737,0.7015037593984963,127,70
4,0.7109375,0.704,0.8177352001965119,128,69
5,0.736,0.7870967741935484,0.7951621204323212,125,67
6,0.6825396825396826,0.7297297297297297,0.7898989898989899,126,66
7,0.7076923076923077,0.7361111111111112,0.7295238095238095,130,70
8,0.7241379310344828,0.7777777777777778,0.751709782931906,116,59
9,0.6557377049180327,0.704225352112676,0.734577922077922,122,66
10,0.6171875,0.6370370370370371,0.6674822608270126,128,67
11,0.6850393700787402,0.7590361445783133,0.7996011964107678,127,68
12,0.7674418604651163,0.8192771084337349,0.8132850241545894,129,69
13,0.6507936507936508,0.7142857142857143,0.6664141414141413,126,66
14,0.6434108527131783,0.7294117647058823,0.6739130434782609,129,69
15,0.6528925619834711,0.7407407407407407,0.6634773100054674,121,62
16,0.5193798449612403,0.5230769230769231,0.6374396135265701,129,69
17,0.6511627906976745,0.7019867549668874,0.6681159420289855,129,69
18,0.6890756302521008,0.7549668874172185,0.7843478260869565,119,69
19,0.6384615384615384,0.6666666666666666,0.6954145877880732,130,69
20,0.6434108527131783,0.6666666666666666,0.7055555555555555,129,69
21,0.6509433962264151,0.7086614173228346,0.7978260869565217,106,46
22,0.7777777777777778,0.8028169014084507,0.8079939286617759,126,67
23,0.8449612403100775,0.8591549295774648,0.9280193236714975,129,69
24,0.6923076923076923,0.7619047619047619,0.756711808030411,130,69
25,0.6484375,0.7019867549668874,0.7568627450980392,128,68
