participant,accuracy,f1_score,auc,n_test,n_stressed
1,0.6434108527131783,0.6973684210526315,0.6817632850241546,129,69
2,0.6776859504132231,0.7111111111111111,0.7104975396391471,121,59
3,0.6456692913385826,0.7096774193548387,0.7191729323308271,127,70
4,0.7734375,0.768,0.8833210513387374,128,69
5,0.728,0.7792207792207793,0.7987647967061245,125,67
6,0.7222222222222222,0.7682119205298014,0.777020202020202,126,66
7,0.6692307692307692,0.7034482758620689,0.7195238095238095,130,70
8,0.6896551724137931,0.7313432835820896,0.7314897413024086,116,59
9,0.6639344262295082,0.7092198581560284,0.711038961038961,122,66
10,0.6328125,0.656934306569343,0.6932958160019574,128,67
11,0.7007874015748031,0.7625,0.6677467597208375,127,68
12,0.6976744186046512,0.7607361963190185,0.7504830917874397,129,69
13,0.6507936507936508,0.7142857142857143,0.6801767676767677,126,66
14,0.6666666666666666,0.7542857142857143,0.6263285024154589,129,69
15,0.6611570247933884,0.7421383647798742,0.69901585565883,121,62
16,0.6046511627906976,0.5641025641025641,0.6195652173913043,129,69
17,0.6124031007751938,0.6710526315789473,0.623671497584541,129,69
18,0.6974789915966386,0.7662337662337663,0.7565217391304347,119,69
19,0.676923076923077,0.7123287671232876,0.6754573532905679,130,69
20,0.6666666666666666,0.7189542483660131,0.773671497584541,129,69
21,0.660377358490566,0.7096774193548387,0.6637681159420289,106,46
22,0.7936507936507936,0.8194444444444444,0.8153301290159372,126,67
23,0.8217054263565892,0.8435374149659864,0.9224637681159421,129,69
24,0.6923076923076923,0.7590361445783133,0.7042052744119744,130,69
25,0.7109375,0.7516778523489933,0.7568627450980393,128,68
