model,accuracy_mean,accuracy_std,f1_mean,f1_std,auc_mean,auc_std,n_folds,total_test,experiment,description,n_features
B_perscore_zscore_MLP,0.7267819783456081,0.09848096753637965,0.7440580596031677,0.09884116633627854,0.8046247144918026,0.11115653764696834,25,3139,B_perscore_zscore,Per-person z-scored physiology,21
B_perscore_zscore_RandomForest,0.7180104280869176,0.11292408690196412,0.7412694052786232,0.10928762031382279,0.7990375254538248,0.12009664041683597,25,3139,B_perscore_zscore,Per-person z-scored physiology,21
B_perscore_zscore_SVM,0.7343549320063039,0.09617442104713242,0.752715538162914,0.0974207458880864,0.796352708032181,0.1172318982698449,25,3139,B_perscore_zscore,Per-person z-scored physiology,21
C_derived_RandomForest,0.7187034510136143,0.10635817811551955,0.7431183136247652,0.09998549524162792,0.7944764868701565,0.1202789673228091,25,3139,C_derived,All features + derived + per-person z,25
C_derived_MLP,0.7132331202211654,0.10178641788992786,0.7376942023620333,0.09747269399902071,0.7922017652796474,0.11530782009731265,25,3139,C_derived,All features + derived + per-person z,25
C_derived_SVM,0.7203615845790425,0.09786419014171346,0.7406471015508436,0.0987745707374259,0.7888506930165885,0.12077874543722289,25,3139,C_derived,All features + derived + per-person z,25
B_perscore_zscore_GradientBoosting,0.7071029636485098,0.10271974012286865,0.722687793059692,0.10223050815235017,0.785543319717369,0.12131293736837084,25,3139,B_perscore_zscore,Per-person z-scored physiology,21
C_derived_GradientBoosting,0.7006630438957427,0.11677487759670876,0.7175983092858238,0.11944276617039407,0.7791718947050223,0.12900797953765997,25,3139,C_derived,All features + derived + per-person z,25
C_derived_LogisticRegression,0.7103223904824546,0.10007606230043042,0.7232920519331307,0.10790052865686953,0.7730367431951238,0.1198687342020811,25,3139,C_derived,All features + derived + per-person z,25
B_perscore_zscore_LogisticRegression,0.6982397694284608,0.0955261066283135,0.7056772931836761,0.11125150507833952,0.7639854198920291,0.12000595167709216,25,3139,B_perscore_zscore,Per-person z-scored physiology,21
A_baseline_RandomForest,0.6789670721623479,0.09644220791137932,0.7065917519704196,0.13007929286588568,0.7477851416858499,0.11567960626273321,25,3139,A_baseline,"Raw features, global impute+scale",21
E_computer_only_RandomForest,0.677685541273469,0.06355245154960223,0.7224547213094742,0.06727101546180424,0.74375986229853,0.06846923155928415,25,3139,E_computer_only,Only computer interaction features,18
A_baseline_SVM,0.6851815533955309,0.06672367713724867,0.7146250486504069,0.09004524067513132,0.7420730449352153,0.08819659491356457,25,3139,A_baseline,"Raw features, global impute+scale",21
E_computer_only_MLP,0.6781670042225414,0.07714005242352547,0.7220350462453208,0.09126931823157915,0.741355397993247,0.08291026870190385,25,3139,E_computer_only,Only computer interaction features,18
E_computer_only_GradientBoosting,0.6658407438208772,0.06125192879737595,0.7027477729233325,0.0666876742684893,0.7404904863992072,0.06190027148653531,25,3139,E_computer_only,Only computer interaction features,18
A_baseline_MLP,0.6666853997296811,0.061628278774947205,0.6903762438334929,0.08430203596802546,0.7347861153785328,0.06253477649467636,25,3139,A_baseline,"Raw features, global impute+scale",21
A_baseline_LogisticRegression,0.6553583751381273,0.08412739647490942,0.6614992507663026,0.1376629259162788,0.7316832894871793,0.09111141895619136,25,3139,A_baseline,"Raw features, global impute+scale",21
E_computer_only_LogisticRegression,0.6625721771330058,0.08377040009754076,0.670709755031655,0.13006960050707567,0.7304163757537558,0.09049986586934025,25,3139,E_computer_only,Only computer interaction features,18
E_computer_only_SVM,0.6864095846620941,0.05178777830471647,0.7313810647282467,0.05474829617006865,0.726446257990039,0.07428649304019178,25,3139,E_computer_only,Only computer interaction features,18
A_baseline_GradientBoosting,0.6271017692515144,0.10873034674914203,0.6203801592203313,0.19561689055590076,0.7018483099701553,0.125620822275543,25,3139,A_baseline,"Raw features, global impute+scale",21
D_physio_only_MLP,0.6063696230335373,0.15724943342053263,0.6575751320743479,0.14025174893698053,0.6452068639141543,0.17064524032214262,25,3139,D_physio_only,Only physiology features (per-person z),3
D_physio_only_SVM,0.6130187090164653,0.13659348505199084,0.6435852866664465,0.12807644844220348,0.6393974871290538,0.1680490899706572,25,3139,D_physio_only,Only physiology features (per-person z),3
D_physio_only_RandomForest,0.57563716460079,0.13371013925242323,0.5942565581428136,0.13676629090159692,0.5900546211423947,0.1676120741659423,25,3139,D_physio_only,Only physiology features (per-person z),3
D_physio_only_GradientBoosting,0.5632308768485543,0.13313236574231566,0.5863979427001235,0.13102775024377916,0.577792975894869,0.15248851772849653,25,3139,D_physio_only,Only physiology features (per-person z),3
D_physio_only_LogisticRegression,0.5672037994474782,0.16169668457288813,0.5504781156933547,0.20422958440705152,0.5390792849059978,0.2017527928530971,25,3139,D_physio_only,Only physiology features (per-person z),3
