fold_participant,accuracy,f1_stressed,f1_not_stressed,f1_macro,precision,recall,auc_roc
PP1,0.5891472868217055,0.6187050359712231,0.5546218487394958,0.5866634423553594,0.6142857142857143,0.6231884057971014,0.6442028985507247
PP10,0.4921875,0.4628099173553719,0.5185185185185185,0.4906642179369452,0.5185185185185185,0.417910447761194,0.5025691216050894
PP11,0.6850393700787402,0.7368421052631579,0.6078431372549019,0.6723426212590299,0.6666666666666666,0.8235294117647058,0.8063310069790628
PP12,0.765625,0.8,0.7169811320754716,0.7584905660377359,0.7407407407407407,0.8695652173913043,0.8730041758781626
PP13,0.7142857142857143,0.7721518987341772,0.6170212765957447,0.694586587664961,0.6630434782608695,0.9242424242424242,0.806060606060606
PP14,0.627906976744186,0.6923076923076923,0.5294117647058824,0.6108597285067874,0.6206896551724138,0.782608695652174,0.6978260869565218
PP15,0.6776859504132231,0.7607361963190185,0.5063291139240507,0.6335326551215346,0.6138613861386139,1.0,0.6172772006560963
PP16,0.5813953488372093,0.37209302325581395,0.686046511627907,0.5290697674418605,0.9411764705882353,0.2318840579710145,0.6483091787439613
PP17,0.6171875,0.6370370370370371,0.5950413223140496,0.6160391796755433,0.6417910447761194,0.6323529411764706,0.6762254901960785
PP18,0.6638655462184874,0.6721311475409836,0.6551724137931034,0.6636517806670434,0.7735849056603774,0.5942028985507246,0.7866666666666666
PP19,0.5736434108527132,0.5299145299145299,0.6099290780141844,0.5699218039643572,0.6458333333333334,0.4492753623188406,0.6893719806763285
PP2,0.6694214876033058,0.5454545454545454,0.7402597402597403,0.6428571428571428,0.8275862068965517,0.4067796610169492,0.7476763258611262
PP20,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.7,0.6086956521739131,0.7548309178743962
PP21,0.6857142857142857,0.717948717948718,0.6451612903225806,0.6815550041356493,0.5915492957746479,0.9130434782608695,0.8058216654384671
PP22,0.6984126984126984,0.6984126984126984,0.6984126984126984,0.6984126984126984,0.7457627118644068,0.6567164179104478,0.7826966860612193
PP23,0.7890625,0.784,0.7938931297709924,0.7889465648854962,0.8596491228070176,0.7205882352941176,0.8892156862745099
PP24,0.7538461538461538,0.7974683544303798,0.6862745098039216,0.7418714321171507,0.7078651685393258,0.9130434782608695,0.7861724875267284
PP25,0.6953125,0.7153284671532847,0.6722689075630253,0.693798687358155,0.7101449275362319,0.7205882352941176,0.7830882352941176
PP3,0.47244094488188976,0.464,0.4806201550387597,0.47231007751937987,0.5272727272727272,0.4142857142857143,0.5333333333333333
PP4,0.7890625,0.773109243697479,0.8029197080291971,0.7880144758633381,0.92,0.6666666666666666,0.9371161876688774
PP5,0.752,0.7832167832167832,0.7102803738317757,0.7467485785242794,0.7368421052631579,0.835820895522388,0.794390118373649
PP6,0.752,0.7769784172661871,0.7207207207207207,0.7488495689934539,0.7397260273972602,0.8181818181818182,0.8243451463790447
PP7,0.6,0.5873015873015873,0.6119402985074627,0.599620942904525,0.6607142857142857,0.5285714285714286,0.6507142857142857
PP8,0.7413793103448276,0.7761194029850746,0.6938775510204082,0.7349984770027413,0.6933333333333334,0.8813559322033898,0.791852512637526
PP9,0.6033057851239669,0.7303370786516854,0.25,0.4901685393258427,0.5752212389380531,1.0,0.8016483516483517
MEAN±STD,0.6656±0.0854,0.6742±0.1198,0.6302±0.1159,0.6522±0.0926,0.6974±0.1084,0.6973±0.2071,0.7452±0.1049
