fold_participant,accuracy,f1_stressed,f1_not_stressed,f1_macro,precision,recall,auc_roc
PP1,0.5891472868217055,0.5225225225225225,0.6394557823129252,0.5809891524177239,0.6904761904761905,0.42028985507246375,0.7096618357487924
PP10,0.5703125,0.5217391304347826,0.6099290780141844,0.5658341042244834,0.625,0.44776119402985076,0.6439931490090531
PP11,0.6929133858267716,0.7547169811320755,0.5894736842105263,0.6720953326713008,0.6593406593406593,0.8823529411764706,0.839481555333998
PP12,0.765625,0.7727272727272727,0.7580645161290323,0.7653958944281525,0.8095238095238095,0.7391304347826086,0.8472119872267256
PP13,0.6587301587301587,0.6906474820143885,0.6194690265486725,0.6550582542815305,0.6575342465753424,0.7272727272727273,0.7691919191919192
PP14,0.7286821705426356,0.7058823529411765,0.7482014388489209,0.7270418958950486,0.84,0.6086956521739131,0.840096618357488
PP15,0.6528925619834711,0.7407407407407407,0.475,0.6078703703703703,0.6,0.967741935483871,0.4811372334609076
PP16,0.3178294573643411,0.2903225806451613,0.34328358208955223,0.3168030813673568,0.32727272727272727,0.2608695652173913,0.3521739130434782
PP17,0.5703125,0.56,0.5801526717557252,0.5700763358778627,0.6140350877192983,0.5147058823529411,0.6477941176470587
PP18,0.7226890756302521,0.762589928057554,0.6666666666666666,0.7146282973621103,0.7571428571428571,0.7681159420289855,0.7750724637681159
PP19,0.5581395348837209,0.5365853658536586,0.5777777777777777,0.5571815718157181,0.6111111111111112,0.4782608695652174,0.6521739130434783
PP2,0.6115702479338843,0.4835164835164835,0.6887417218543046,0.5861291026853941,0.6875,0.3728813559322034,0.636960087479497
PP20,0.7054263565891473,0.75,0.6415094339622641,0.695754716981132,0.6867469879518072,0.8260869565217391,0.7910628019323671
PP21,0.6571428571428571,0.7096774193548387,0.5813953488372093,0.645536384096024,0.5641025641025641,0.9565217391304348,0.7888725128960943
PP22,0.6349206349206349,0.6666666666666666,0.5964912280701754,0.631578947368421,0.647887323943662,0.6865671641791045,0.6625347837085758
PP23,0.7578125,0.7919463087248322,0.7102803738317757,0.751113341278304,0.7283950617283951,0.8676470588235294,0.8482843137254902
PP24,0.7384615384615385,0.7875,0.66,0.72375,0.6923076923076923,0.9130434782608695,0.6851983844143502
PP25,0.6328125,0.6466165413533834,0.6178861788617886,0.6322513601075861,0.6615384615384615,0.6323529411764706,0.6487745098039215
PP3,0.5039370078740157,0.5531914893617021,0.4424778761061947,0.49783468273394843,0.5492957746478874,0.5571428571428572,0.45513784461152884
PP4,0.8203125,0.8099173553719008,0.8296296296296296,0.8197734925007651,0.9423076923076923,0.7101449275362319,0.9452223041021861
PP5,0.536,0.5245901639344263,0.546875,0.5357325819672132,0.5818181818181818,0.47761194029850745,0.6487390633041689
PP6,0.696,0.6984126984126984,0.6935483870967742,0.6959805427547363,0.7333333333333333,0.6666666666666666,0.7336928608115049
PP7,0.6230769230769231,0.6620689655172414,0.5739130434782609,0.6179910044977511,0.64,0.6857142857142857,0.6704761904761906
PP8,0.7068965517241379,0.7733333333333333,0.5853658536585366,0.6793495934959349,0.6373626373626373,0.9830508474576272,0.8525126375260185
PP9,0.5454545454545454,0.6994535519125683,0.06779661016949153,0.38362508104102994,0.5423728813559322,0.9846153846153847,0.7472527472527473
MEAN±STD,0.6399±0.1049,0.6566±0.1267,0.5937±0.1492,0.6252±0.1138,0.6595±0.1154,0.6854±0.2074,0.7069±0.1360
