participant,accuracy,f1,precision,recall,auc,n_test,n_stressed,model
1,0.6976744186046512,0.7272727272727273,0.7027027027027027,0.7536231884057971,0.7695652173913043,129,69,LogisticRegression
2,0.5041322314049587,0.5,0.4918032786885246,0.5084745762711864,0.514215418261345,121,59,LogisticRegression
3,0.6456692913385826,0.6715328467153284,0.6865671641791045,0.6571428571428571,0.6604010025062657,127,70,LogisticRegression
4,0.9453125,0.9496402877697842,0.9428571428571428,0.9565217391304348,0.9746990911323999,128,69,LogisticRegression
5,0.64,0.6666666666666666,0.6617647058823529,0.6716417910447762,0.7148739063304169,125,67,LogisticRegression
6,0.8650793650793651,0.8740740740740741,0.855072463768116,0.8939393939393939,0.9015151515151515,126,66,LogisticRegression
7,0.45384615384615384,0.4740740740740741,0.49230769230769234,0.45714285714285713,0.48833333333333334,130,70,LogisticRegression
8,0.5172413793103449,0.5333333333333333,0.5245901639344263,0.5423728813559322,0.5747844186738031,116,59,LogisticRegression
9,0.7377049180327869,0.7538461538461538,0.765625,0.7424242424242424,0.8287337662337662,122,66,LogisticRegression
10,0.53125,0.5161290322580645,0.5614035087719298,0.47761194029850745,0.5796427697577685,128,67,LogisticRegression
11,0.7952755905511811,0.8194444444444444,0.7763157894736842,0.8676470588235294,0.8716350947158524,127,68,LogisticRegression
12,0.8837209302325582,0.8837209302325582,0.95,0.8260869565217391,0.9538647342995169,129,69,LogisticRegression
13,0.7936507936507936,0.8059701492537313,0.7941176470588235,0.8181818181818182,0.8893939393939394,126,66,LogisticRegression
14,0.751937984496124,0.7681159420289855,0.7681159420289855,0.7681159420289855,0.8316425120772948,129,69,LogisticRegression
15,0.7851239669421488,0.8,0.7647058823529411,0.8387096774193549,0.8687807545106616,121,62,LogisticRegression
16,0.7441860465116279,0.7518796992481203,0.78125,0.7246376811594203,0.8272946859903381,129,69,LogisticRegression
17,0.7984496124031008,0.8115942028985508,0.8115942028985508,0.8115942028985508,0.872463768115942,129,69,LogisticRegression
18,0.7899159663865546,0.8175182481751825,0.8235294117647058,0.8115942028985508,0.818840579710145,119,69,LogisticRegression
19,0.6461538461538462,0.6617647058823529,0.6716417910447762,0.6521739130434783,0.6873366595390829,130,69,LogisticRegression
20,0.6046511627906976,0.6433566433566433,0.6216216216216216,0.6666666666666666,0.6355072463768116,129,69,LogisticRegression
21,0.6037735849056604,0.58,0.5370370370370371,0.6304347826086957,0.6492753623188405,106,46,LogisticRegression
22,0.7698412698412699,0.7786259541984732,0.796875,0.7611940298507462,0.8537819377687832,126,67,LogisticRegression
23,0.8062015503875969,0.8344370860927153,0.7682926829268293,0.9130434782608695,0.9111111111111111,129,69,LogisticRegression
24,0.6230769230769231,0.6754966887417219,0.6219512195121951,0.7391304347826086,0.6633404609170824,130,69,LogisticRegression
25,0.640625,0.6461538461538462,0.6774193548387096,0.6176470588235294,0.7458333333333333,128,68,LogisticRegression
