participant,accuracy,f1,precision,recall,auc,n_test,n_stressed,model
1,0.7209302325581395,0.7272727272727273,0.7619047619047619,0.6956521739130435,0.8490338164251208,129,69,MLP
2,0.5041322314049587,0.5238095238095238,0.4925373134328358,0.559322033898305,0.5924002186987425,121,59,MLP
3,0.5275590551181102,0.5774647887323944,0.5694444444444444,0.5857142857142857,0.6348370927318296,127,70,MLP
4,0.8203125,0.847682119205298,0.7804878048780488,0.927536231884058,0.92090395480226,128,69,MLP
5,0.672,0.6962962962962963,0.6911764705882353,0.7014925373134329,0.7681420483787957,125,67,MLP
6,0.8253968253968254,0.8472222222222222,0.782051282051282,0.9242424242424242,0.8977272727272727,126,66,MLP
7,0.5076923076923077,0.5,0.5517241379310345,0.45714285714285713,0.5835714285714286,130,70,MLP
8,0.5344827586206896,0.5714285714285714,0.5373134328358209,0.6101694915254238,0.5622955694320547,116,59,MLP
9,0.7786885245901639,0.8137931034482758,0.7468354430379747,0.8939393939393939,0.8860930735930737,122,66,MLP
10,0.578125,0.578125,0.6065573770491803,0.5522388059701493,0.6479080009787129,128,67,MLP
11,0.7874015748031497,0.8,0.8059701492537313,0.7941176470588235,0.8414755732801595,127,68,MLP
12,0.9302325581395349,0.9312977099236641,0.9838709677419355,0.8840579710144928,0.9942028985507246,129,69,MLP
13,0.8333333333333334,0.8467153284671532,0.8169014084507042,0.8787878787878788,0.9212121212121211,126,66,MLP
14,0.8604651162790697,0.8676470588235294,0.8805970149253731,0.855072463768116,0.9275362318840579,129,69,MLP
15,0.8760330578512396,0.8818897637795275,0.8615384615384616,0.9032258064516129,0.9496992892290869,121,62,MLP
16,0.8062015503875969,0.8175182481751825,0.8235294117647058,0.8115942028985508,0.8975845410628019,129,69,MLP
17,0.7674418604651163,0.7887323943661971,0.7671232876712328,0.8115942028985508,0.891062801932367,129,69,MLP
18,0.7563025210084033,0.7883211678832117,0.7941176470588235,0.782608695652174,0.8284057971014493,119,69,MLP
19,0.676923076923077,0.7272727272727273,0.6588235294117647,0.8115942028985508,0.674744594915657,130,69,MLP
20,0.5736434108527132,0.6206896551724138,0.5921052631578947,0.6521739130434783,0.6096618357487922,129,69,MLP
21,0.6037735849056604,0.6111111111111112,0.532258064516129,0.717391304347826,0.7159420289855072,106,46,MLP
22,0.8174603174603174,0.8368794326241135,0.7972972972972973,0.8805970149253731,0.8813559322033898,126,67,MLP
23,0.689922480620155,0.7560975609756098,0.6526315789473685,0.8985507246376812,0.8144927536231884,129,69,MLP
24,0.6230769230769231,0.6993865030674846,0.6063829787234043,0.8260869565217391,0.6193870277975767,130,69,MLP
25,0.6875,0.7183098591549296,0.6891891891891891,0.75,0.7223039215686274,128,68,MLP
