participant,accuracy,f1,precision,recall,auc,n_test,n_stressed,model
1,0.7751937984496124,0.7751937984496124,0.8333333333333334,0.7246376811594203,0.8623188405797102,129,69,SVM
2,0.5537190082644629,0.5846153846153846,0.5352112676056338,0.6440677966101694,0.6068890103881902,121,59,SVM
3,0.5748031496062992,0.625,0.6081081081081081,0.6428571428571429,0.6526315789473685,127,70,SVM
4,0.828125,0.8513513513513513,0.7974683544303798,0.9130434782608695,0.9228690739376074,128,69,SVM
5,0.672,0.6962962962962963,0.6911764705882353,0.7014925373134329,0.7722593926917138,125,67,SVM
6,0.8412698412698413,0.8571428571428571,0.8108108108108109,0.9090909090909091,0.9295454545454545,126,66,SVM
7,0.6076923076923076,0.5785123966942148,0.6862745098039216,0.5,0.5978571428571428,130,70,SVM
8,0.5,0.5084745762711864,0.5084745762711864,0.5084745762711864,0.5587273267915551,116,59,SVM
9,0.7622950819672131,0.7913669064748201,0.7534246575342466,0.8333333333333334,0.8603896103896104,122,66,SVM
10,0.6328125,0.6115702479338843,0.6851851851851852,0.5522388059701493,0.6327379495962808,128,67,SVM
11,0.8188976377952756,0.8391608391608392,0.8,0.8823529411764706,0.8130608175473579,127,68,SVM
12,0.9224806201550387,0.9253731343283582,0.9538461538461539,0.8985507246376812,0.9881642512077295,129,69,SVM
13,0.8253968253968254,0.8382352941176471,0.8142857142857143,0.8636363636363636,0.9075757575757576,126,66,SVM
14,0.8062015503875969,0.8201438848920863,0.8142857142857143,0.8260869565217391,0.8780193236714975,129,69,SVM
15,0.8842975206611571,0.8870967741935484,0.8870967741935484,0.8870967741935484,0.9647348277747403,121,62,SVM
16,0.751937984496124,0.7647058823529411,0.7761194029850746,0.7536231884057971,0.8652173913043478,129,69,SVM
17,0.7984496124031008,0.8169014084507042,0.7945205479452054,0.8405797101449275,0.8847826086956522,129,69,SVM
18,0.7478991596638656,0.7727272727272727,0.8095238095238095,0.7391304347826086,0.8495652173913043,119,69,SVM
19,0.6230769230769231,0.6573426573426573,0.6351351351351351,0.6811594202898551,0.6707056307911619,130,69,SVM
20,0.5658914728682171,0.6266666666666667,0.5802469135802469,0.6811594202898551,0.5983091787439614,129,69,SVM
21,0.6037735849056604,0.5882352941176471,0.5357142857142857,0.6521739130434783,0.7123188405797101,106,46,SVM
22,0.753968253968254,0.7559055118110236,0.8,0.7164179104477612,0.8420187199595244,126,67,SVM
23,0.7286821705426356,0.779874213836478,0.6888888888888889,0.8985507246376812,0.840096618357488,129,69,SVM
24,0.6461538461538462,0.7160493827160493,0.6236559139784946,0.8405797101449275,0.6303159895462105,130,69,SVM
25,0.6640625,0.6993006993006993,0.6666666666666666,0.7352941176470589,0.7372549019607844,128,68,SVM
