participant,accuracy,f1,precision,recall,auc,n_test,n_stressed,model
1,0.6589147286821705,0.6986301369863014,0.6623376623376623,0.7391304347826086,0.728743961352657,129,69,Transformer
2,0.6033057851239669,0.6190476190476191,0.582089552238806,0.6610169491525424,0.7195188627665391,121,59,Transformer
3,0.8031496062992126,0.8175182481751825,0.835820895522388,0.8,0.8879699248120301,127,70,Transformer
4,0.7421875,0.7975460122699386,0.6914893617021277,0.9420289855072463,0.8054532056005895,128,69,Transformer
5,0.832,0.8421052631578947,0.8484848484848485,0.835820895522388,0.9117344312918167,125,67,Transformer
6,0.9761904761904762,0.9774436090225563,0.9701492537313433,0.9848484848484849,0.9881313131313132,126,66,Transformer
7,0.9076923076923077,0.9130434782608695,0.9264705882352942,0.9,0.985,130,70,Transformer
8,0.46551724137931033,0.5303030303030303,0.4794520547945205,0.5932203389830508,0.34730895034195663,116,59,Transformer
9,1.0,1.0,1.0,1.0,1.0,122,66,Transformer
10,0.8515625,0.8503937007874016,0.9,0.8059701492537313,0.9645216540249572,128,67,Transformer
11,0.7244094488188977,0.6666666666666666,0.9459459459459459,0.5147058823529411,0.8923230309072782,127,68,Transformer
12,0.9534883720930233,0.9583333333333334,0.92,1.0,0.9934782608695653,129,69,Transformer
13,0.9920634920634921,0.9924812030075187,0.9850746268656716,1.0,1.0,126,66,Transformer
14,0.9534883720930233,0.9571428571428572,0.9436619718309859,0.9710144927536232,0.9830917874396136,129,69,Transformer
15,0.8925619834710744,0.896,0.8888888888888888,0.9032258064516129,0.9743028977583379,121,62,Transformer
16,0.9844961240310077,0.9852941176470589,1.0,0.9710144927536232,0.9995169082125603,129,69,Transformer
17,1.0,1.0,1.0,1.0,1.0,129,69,Transformer
18,0.9915966386554622,0.9927007299270073,1.0,0.9855072463768116,1.0,119,69,Transformer
19,0.2846153846153846,0.34965034965034963,0.33783783783783783,0.36231884057971014,0.1774768353528154,130,69,Transformer
20,0.5581395348837209,0.6415094339622641,0.5666666666666667,0.7391304347826086,0.5176328502415459,129,69,Transformer
21,0.7452830188679245,0.6896551724137931,0.7317073170731707,0.6521739130434783,0.8101449275362319,106,46,Transformer
22,0.9761904761904762,0.9774436090225563,0.9848484848484849,0.9701492537313433,0.9989881102959777,126,67,Transformer
23,0.5503875968992248,0.6506024096385542,0.5567010309278351,0.782608695652174,0.4623188405797102,129,69,Transformer
24,0.7769230769230769,0.7972027972027972,0.7702702702702703,0.8260869565217391,0.866951770016631,130,69,Transformer
25,0.609375,0.6951219512195121,0.59375,0.8382352941176471,0.6144607843137255,128,68,Transformer
