fold_participant,accuracy,f1_stressed,f1_not_stressed,f1_macro,precision,recall,auc_roc
PP1,0.6046511627906976,0.6330935251798561,0.5714285714285714,0.6022610483042137,0.6285714285714286,0.6376811594202898,0.6655797101449276
PP10,0.5625,0.5483870967741935,0.5757575757575758,0.5620723362658846,0.5964912280701754,0.5074626865671642,0.6466846097381942
PP11,0.7244094488188977,0.7770700636942676,0.6391752577319587,0.7081226607131131,0.6853932584269663,0.8970588235294118,0.8576769690927218
PP12,0.8359375,0.864516129032258,0.7920792079207921,0.8282976684765251,0.7790697674418605,0.9710144927536232,0.917587816261361
PP13,0.7142857142857143,0.775,0.6086956521739131,0.6918478260869565,0.6595744680851063,0.9393939393939394,0.6982323232323233
PP14,0.8217054263565892,0.8413793103448276,0.7964601769911505,0.818919743667989,0.8026315789473685,0.8840579710144928,0.9039855072463768
PP15,0.6528925619834711,0.7439024390243902,0.46153846153846156,0.6027204502814258,0.5980392156862745,0.9838709677419355,0.5569983597594315
PP16,0.6511627906976745,0.6341463414634146,0.6666666666666666,0.6504065040650406,0.7222222222222222,0.5652173913043478,0.7320048309178744
PP17,0.671875,0.704225352112676,0.631578947368421,0.6679021497405485,0.6756756756756757,0.7352941176470589,0.7213235294117647
PP18,0.7394957983193278,0.8,0.6265060240963856,0.7132530120481928,0.7209302325581395,0.8985507246376812,0.7992753623188406
PP19,0.7286821705426356,0.7651006711409396,0.6788990825688074,0.7219998768548734,0.7125,0.8260869565217391,0.7704106280193237
PP2,0.6942148760330579,0.6262626262626263,0.7412587412587412,0.6837606837606838,0.775,0.5254237288135594,0.8007107709130673
PP20,0.689922480620155,0.7297297297297297,0.6363636363636364,0.683046683046683,0.6835443037974683,0.782608695652174,0.757487922705314
PP21,0.6,0.6818181818181818,0.46153846153846156,0.5716783216783217,0.5232558139534884,0.9782608695652174,0.7035740604274134
PP22,0.6825396825396826,0.7530864197530864,0.5555555555555556,0.654320987654321,0.6421052631578947,0.9104477611940298,0.6085251707563875
PP23,0.7890625,0.8280254777070064,0.7272727272727273,0.7776491024898669,0.7303370786516854,0.9558823529411765,0.8960784313725491
PP24,0.8,0.8375,0.74,0.7887500000000001,0.7362637362637363,0.9710144927536232,0.8660014255167499
PP25,0.6875,0.7402597402597403,0.6078431372549019,0.6740514387573211,0.6627906976744186,0.8382352941176471,0.8285539215686275
PP3,0.4094488188976378,0.4094488188976378,0.4094488188976378,0.4094488188976378,0.45614035087719296,0.37142857142857144,0.4948621553884712
PP4,0.765625,0.7857142857142857,0.7413793103448276,0.7635467980295567,0.7746478873239436,0.7971014492753623,0.8077867845738148
PP5,0.608,0.5050505050505051,0.6754966887417219,0.5902735968961135,0.78125,0.373134328358209,0.7694287184765826
PP6,0.656,0.6504065040650406,0.6614173228346457,0.6559119134498432,0.7017543859649122,0.6060606060606061,0.7204673857216229
PP7,0.6230769230769231,0.6838709677419355,0.5333333333333333,0.6086021505376344,0.6235294117647059,0.7571428571428571,0.6810714285714287
PP8,0.6896551724137931,0.7464788732394366,0.6,0.6732394366197183,0.6385542168674698,0.8983050847457628,0.7411537317870949
PP9,0.6859504132231405,0.7682926829268293,0.5128205128205128,0.640556597873671,0.6363636363636364,0.9692307692307692,0.7321428571428572
MEAN±STD,0.6835±0.0906,0.7133±0.1095,0.6261±0.1019,0.6697±0.0910,0.6779±0.0826,0.7832±0.1928,0.7471±0.1052
