fold_participant,accuracy,f1_stressed,f1_not_stressed,f1_macro,precision,recall,auc_roc
PP1,0.5319148936170213,0.639344262295082,0.3333333333333333,0.48633879781420764,0.5342465753424658,0.7959183673469388,0.5609977324263039
PP10,0.6739130434782609,0.6808510638297872,0.6666666666666666,0.6737588652482269,0.5161290322580645,1.0,0.7645833333333333
PP12,0.6976744186046512,0.6388888888888888,0.74,0.6894444444444444,0.5897435897435898,0.696969696969697,0.7755860491709549
PP13,0.85,0.9010989010989011,0.6896551724137931,0.7953770367563471,0.8723404255319149,0.9318181818181818,0.7400568181818181
PP14,0.8636363636363636,0.85,0.875,0.8625,0.8947368421052632,0.8095238095238095,0.9184782608695652
PP16,0.6083333333333333,0.5982905982905983,0.6178861788617886,0.6080883885761934,0.7291666666666666,0.5072463768115942,0.664535379369139
PP17,0.6788990825688074,0.7154471544715447,0.631578947368421,0.6735130509199829,0.8,0.6470588235294118,0.764167862266858
PP18,0.7692307692307693,0.8141592920353983,0.6956521739130435,0.7549057329742208,0.7931034482758621,0.8363636363636363,0.8191919191919191
PP19,0.4107142857142857,0.42105263157894735,0.4,0.4105263157894737,1.0,0.26666666666666666,0.9171717171717172
PP2,0.6434782608695652,0.4810126582278481,0.7284768211920529,0.6047447397099506,0.9047619047619048,0.3275862068965517,0.7563520871143375
PP20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PP21,0.5806451612903226,0.6486486486486487,0.48,0.5643243243243243,0.48,1.0,0.6951754385964912
PP24,0.9047619047619048,0.92,0.8823529411764706,0.9011764705882352,1.0,0.8518518518518519,0.9925925925925926
PP3,0.2413793103448276,0.15384615384615385,0.3125,0.23317307692307693,1.0,0.08333333333333333,0.9333333333333332
PP4,0.26666666666666666,0.42105263157894735,0.0,0.21052631578947367,0.26666666666666666,1.0,0.5
PP5,0.6909090909090909,0.48484848484848486,0.7792207792207793,0.6320346320346321,0.6666666666666666,0.38095238095238093,0.8032212885154061
PP6,0.7875,0.8282828282828283,0.7213114754098361,0.7747971518463321,0.7884615384615384,0.8723404255319149,0.8368794326241135
PP7,0.67,0.7401574803149606,0.547945205479452,0.6440513428972063,0.7833333333333333,0.7014925373134329,0.6990049751243781
PP9,0.8536585365853658,0.8571428571428571,0.85,0.8535714285714285,0.8181818181818182,0.9,0.8583333333333334
MEAN±STD,0.6696±0.2025,0.6734±0.2125,0.6290±0.2402,0.6512±0.2088,0.7599±0.2055,0.7163±0.2779,0.7895±0.1335
